dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000295,0.295000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,0.000294,0.295000,0.000005,0.000039,-0.018068,-1.903408,6.282190
0.020000,0.000292,0.295000,0.000007,0.000087,0.002415,1.024150,6.282195
0.020000,0.000289,0.295000,0.000010,0.000155,0.003381,0.048302,6.282206
0.020000,0.000284,0.295000,0.000014,0.000241,0.004347,0.048310,6.282222
0.020000,0.000277,0.295000,0.000021,0.000348,0.005314,0.048323,6.282246
0.020000,0.000268,0.295000,0.000031,0.000473,0.006280,0.048342,6.282278
0.020000,0.000255,0.295000,0.000043,0.000618,0.007248,0.048369,6.282320
0.020000,0.000240,0.295000,0.000059,0.000783,0.008216,0.048405,6.282373
0.020000,0.000220,0.295000,0.000078,0.000966,0.009185,0.048451,6.282438
0.020000,0.000197,0.295000,0.000102,0.001169,0.010155,0.048508,6.282518
0.020000,0.000169,0.295000,0.000129,0.001392,0.011127,0.048579,6.282612
0.020000,0.000136,0.295000,0.000162,0.001634,0.012100,0.048663,6.282723
0.020000,0.000098,0.295000,0.000200,0.001895,0.013075,0.048762,6.282851
0.020000,0.000055,0.295000,0.000244,0.002177,0.014053,0.048878,6.282999
0.020000,0.000005,0.295000,0.000293,0.002477,0.015033,0.049012,6.283167
0.020000,0.000994,0.295000,0.001282,0.049423,2.347284,116.612533,0.000171
0.020000,0.002227,0.295000,0.002515,0.061675,0.612620,-86.733163,0.000384
0.020000,0.003601,0.295001,0.003889,0.068701,0.351268,-13.067633,0.000621
0.020000,0.005123,0.295002,0.005411,0.076101,0.370002,0.936695,0.000884
0.020000,0.006802,0.295004,0.007090,0.083924,0.391190,1.059415,0.001175
0.020000,0.008644,0.295006,0.008932,0.092112,0.409392,0.910109,0.001494
0.020000,0.010657,0.295010,0.010945,0.100638,0.426276,0.844197,0.001842
0.020000,0.012849,0.295014,0.013136,0.109596,0.447922,1.082309,0.002223
0.020000,0.015227,0.295020,0.015515,0.118916,0.465983,0.903064,0.002636
0.020000,0.017799,0.295027,0.018086,0.128577,0.483066,0.854146,0.003083
0.020000,0.020573,0.295037,0.020860,0.138700,0.506124,1.152885,0.003566
0.020000,0.023555,0.295048,0.023842,0.149098,0.519938,0.690713,0.004087
0.020000,0.026754,0.295062,0.027042,0.159978,0.543975,1.201816,0.004646
0.020000,0.030177,0.295079,0.030465,0.171151,0.558627,0.732608,0.005245
0.020000,0.033832,0.295099,0.034120,0.182737,0.579318,1.034568,0.005886
0.020000,0.037726,0.295124,0.038014,0.194721,0.599213,0.994757,0.006571
0.020000,0.041867,0.295152,0.042155,0.207031,0.615491,0.813905,0.007300
0.020000,0.046261,0.295186,0.046549,0.219728,0.634827,0.966772,0.008076
0.020000,0.050918,0.295226,0.051206,0.232860,0.656623,1.089826,0.008901
0.020000,0.055844,0.295272,0.056133,0.246314,0.672695,0.803565,0.009775
0.020000,0.061047,0.295325,0.061336,0.260145,0.691540,0.942256,0.010701
0.020000,0.066533,0.295386,0.066823,0.274353,0.710429,0.944463,0.011681
0.020000,0.072312,0.295457,0.072601,0.288937,0.729183,0.937698,0.012715
0.020000,0.078389,0.295537,0.078679,0.303893,0.747789,0.930323,0.013807
0.020000,0.084773,0.295629,0.085064,0.319217,0.766236,0.922320,0.014958
0.020000,0.091470,0.295733,0.091762,0.334908,0.784509,0.913673,0.016170
0.020000,0.098489,0.295851,0.098782,0.351001,0.804692,1.009135,0.017445
0.020000,0.105837,0.295984,0.106131,0.367452,0.822543,0.892554,0.018785
0.020000,0.113520,0.296134,0.113815,0.384232,0.839010,0.823336,0.020192
0.020000,0.121547,0.296302,0.121844,0.401422,0.859472,1.023105,0.021669
0.020000,0.129924,0.296490,0.130223,0.418972,0.877480,0.900418,0.023217
0.020000,0.138659,0.296700,0.138961,0.436871,0.894955,0.873743,0.024839
0.020000,0.147759,0.296934,0.148064,0.455141,0.913495,0.926983,0.026537
0.020000,0.157231,0.297194,0.157540,0.473805,0.933199,0.985206,0.028314
0.020000,0.167079,0.297482,0.167391,0.492592,0.939374,0.308737,0.030172
0.020000,0.177302,0.297800,0.177619,0.511376,0.939225,-0.007428,0.032112
0.020000,0.187899,0.298151,0.188222,0.530153,0.938821,-0.020193,0.034134
0.020000,0.198870,0.298538,0.199200,0.548919,0.938317,-0.025213,0.036241
0.020000,0.210216,0.298961,0.210554,0.567658,0.936920,-0.069871,0.038434
0.020000,0.221934,0.299425,0.222281,0.586382,0.936206,-0.035691,0.040714
0.020000,0.234025,0.299932,0.234383,0.605074,0.934593,-0.080627,0.043083
0.020000,0.246487,0.300485,0.246857,0.623731,0.932869,-0.086200,0.045542
0.020000,0.259320,0.301086,0.259704,0.642348,0.930873,-0.099792,0.048093
0.020000,0.272524,0.301739,0.272925,0.661010,0.933068,0.109750,0.050738
0.020000,0.286097,0.302447,0.286516,0.679572,0.928127,-0.247082,0.053478
0.020000,0.300039,0.303213,0.300479,0.698156,0.929170,0.052188,0.056316
0.020000,0.314348,0.304041,0.314812,0.716649,0.924649,-0.226056,0.059253
0.020000,0.329026,0.304934,0.329516,0.735213,0.928194,0.177219,0.062291
0.020000,0.344068,0.305896,0.344590,0.753664,0.922571,-0.281154,0.065433
0.020000,0.359475,0.306930,0.360032,0.772096,0.921603,-0.048397,0.068680
0.020000,0.375246,0.308042,0.375842,0.790503,0.920322,-0.064022,0.072036
0.020000,0.391380,0.309234,0.392019,0.808877,0.918724,-0.079902,0.075502
0.020000,0.407875,0.310512,0.408563,0.827213,0.916805,-0.095983,0.079081
0.020000,0.424729,0.311879,0.425473,0.845504,0.914560,-0.112248,0.082775
0.020000,0.441942,0.313340,0.442748,0.863744,0.911986,-0.128679,0.086588
0.020000,0.459513,0.314900,0.460388,0.881982,0.911882,-0.005184,0.090522
0.020000,0.477439,0.316563,0.478391,0.900152,0.908524,-0.167940,0.094580
0.020000,0.495718,0.318336,0.496756,0.918257,0.905242,-0.164052,0.098765
0.020000,0.514350,0.320223,0.515483,0.936356,0.904926,-0.015837,0.103080
0.020000,0.533328,0.322228,0.534567,0.954198,0.892126,-0.639993,0.107528
0.020000,0.552643,0.324358,0.553999,0.971598,0.870009,-1.105825,0.112111
0.020000,0.572286,0.326616,0.573771,0.988589,0.849534,-1.023763,0.116829
0.020000,0.592246,0.329008,0.593874,1.005173,0.829189,-1.017248,0.121685
0.020000,0.612515,0.331538,0.614301,1.021314,0.807080,-1.105467,0.126680
0.020000,0.633083,0.334211,0.635041,1.037036,0.786076,-1.050177,0.131817
0.020000,0.653940,0.337032,0.656088,1.052335,0.764956,-1.056000,0.137097
0.020000,0.675075,0.340007,0.677432,1.067190,0.742744,-1.110592,0.142522
0.020000,0.696480,0.343139,0.699064,1.081602,0.720627,-1.105890,0.148094
0.020000,0.718143,0.346434,0.720976,1.095622,0.700996,-0.981547,0.153814
0.020000,0.740055,0.349897,0.743160,1.109198,0.678772,-1.111161,0.159686
0.020000,0.762205,0.353533,0.765607,1.122341,0.657150,-1.081106,0.165710
0.020000,0.784584,0.357346,0.788308,1.135043,0.635116,-1.101740,0.171889
0.020000,0.807180,0.361343,0.811255,1.147364,0.616042,-0.953701,0.178225
0.020000,0.829984,0.365527,0.834439,1.159206,0.592087,-1.197706,0.184719
0.020000,0.852983,0.369903,0.857852,1.170629,0.571168,-1.045979,0.191374
0.020000,0.876169,0.374477,0.881485,1.181630,0.550048,-1.055968,0.198192
0.020000,0.899530,0.379253,0.905329,1.192205,0.528751,-1.064877,0.205175
0.020000,0.923055,0.384237,0.929376,1.202351,0.507298,-1.072658,0.212324
0.020000,0.946733,0.389431,0.953617,1.212065,0.485713,-1.079259,0.219642
0.020000,0.970553,0.394843,0.978044,1.221346,0.464020,-1.084634,0.227129
0.020000,0.994504,0.400474,1.002648,1.230196,0.442537,-1.074161,0.234789
0.020000,1.018575,0.406332,1.027421,1.238674,0.423859,-0.933876,0.242623
0.020000,1.042754,0.412419,1.052354,1.246656,0.399132,-1.236382,0.250632
0.020000,1.067030,0.418739,1.077440,1.254267,0.380521,-0.930505,0.258817
0.020000,1.091391,0.425298,1.102668,1.261417,0.357543,-1.148923,0.267181
0.020000,1.115826,0.432098,1.128032,1.268199,0.339100,-0.922133,0.275724
0.020000,1.140323,0.439145,1.153522,1.274514,0.315752,-1.167404,0.284448
0.020000,1.164870,0.446440,1.179131,1.280429,0.295728,-1.001213,0.293353
0.020000,1.189457,0.453989,1.204850,1.285970,0.277045,-0.934148,0.302440
0.020000,1.214071,0.461793,1.230672,1.291066,0.254783,-1.113100,0.311710
0.020000,1.238699,0.469858,1.256587,1.295760,0.234729,-1.002704,0.321164
0.020000,1.263331,0.478184,1.282588,1.300055,0.214738,-0.999538,0.330800
0.020000,1.287954,0.486775,1.308667,1.303952,0.194841,-0.994884,0.340620
0.020000,1.312557,0.495633,1.334816,1.307453,0.175066,-0.988737,0.350622
0.020000,1.337128,0.504761,1.361027,1.310562,0.155444,-0.981104,0.360807
0.020000,1.361654,0.514161,1.387294,1.313308,0.137307,-0.906837,0.371173
0.020000,1.386125,0.523834,1.413607,1.315657,0.117432,-0.993761,0.381718
0.020000,1.410528,0.533781,1.439959,1.317617,0.098037,-0.969749,0.392441
0.020000,1.434851,0.544004,1.466343,1.319217,0.079985,-0.902600,0.403341
0.020000,1.459084,0.554504,1.492753,1.320474,0.062858,-0.856356,0.414414
0.020000,1.483214,0.565280,1.519179,1.321329,0.042760,-1.004898,0.425658
0.020000,1.507230,0.576334,1.545617,1.321884,0.027720,-0.751985,0.437070
0.020000,1.531120,0.587664,1.572058,1.322040,0.007794,-0.996301,0.448645
0.020000,1.554874,0.599270,1.598496,1.321908,-0.006585,-0.718930,0.460381
0.020000,1.578480,0.611152,1.624924,1.321396,-0.025616,-0.951549,0.472271
0.020000,1.601928,0.623308,1.651336,1.320594,-0.040084,-0.723423,0.484312
0.020000,1.625208,0.635737,1.677725,1.319456,-0.056929,-0.842261,0.496498
0.020000,1.648307,0.648436,1.704085,1.317997,-0.072936,-0.800342,0.508822
0.020000,1.671217,0.661403,1.730410,1.316258,-0.086925,-0.699430,0.521279
0.020000,1.693931,0.674637,1.756698,1.314381,-0.093872,-0.347380,0.533863
0.020000,1.716444,0.688138,1.782949,1.312556,-0.091238,0.131712,0.546570
0.020000,1.738753,0.701907,1.809165,1.310796,-0.088003,0.161771,0.559396
0.020000,1.760854,0.715944,1.835347,1.309119,-0.083865,0.206890,0.572337
0.020000,1.782744,0.730250,1.861497,1.307501,-0.080903,0.148088,0.585388
0.020000,1.804419,0.744824,1.887616,1.305958,-0.077142,0.188065,0.598542
0.020000,1.825876,0.759666,1.913706,1.304497,-0.073017,0.206258,0.611796
0.020000,1.847111,0.774777,1.939769,1.303124,-0.068679,0.216857,0.625142
0.020000,1.868121,0.790155,1.965806,1.301841,-0.064136,0.227165,0.638576
0.020000,1.888903,0.805801,1.991819,1.300656,-0.059266,0.243500,0.652090
0.020000,1.909453,0.821714,2.017810,1.299568,-0.054391,0.243740,0.665678
