dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,0.000000,0.000000,0.000020,0.001200,0.040000,1.000000,6.282190
0.020000,0.000000,0.000000,0.000056,0.002400,0.060000,1.000000,6.282195
0.020000,0.000000,0.000000,0.000120,0.004000,0.080000,1.000000,6.282206
0.020000,0.000000,0.000000,0.000220,0.006000,0.100000,1.000000,6.282222
0.020000,0.000000,0.000000,0.000364,0.008400,0.120000,1.000000,6.282246
0.020000,0.000000,0.000000,0.000560,0.011200,0.140000,1.000000,6.282278
0.020000,0.000000,0.000000,0.000816,0.014400,0.160000,1.000000,6.282320
0.020000,0.000000,0.000000,0.001140,0.018000,0.180000,1.000000,6.282373
0.020000,0.000000,0.000000,0.001540,0.022000,0.200000,1.000000,6.282438
0.020000,0.000000,0.000000,0.002024,0.026400,0.220000,1.000000,6.282518
0.020000,0.000000,0.000000,0.002600,0.031200,0.240000,1.000000,6.282612
0.020000,0.000000,0.000000,0.003276,0.036400,0.260000,1.000000,6.282723
0.020000,0.000000,0.000000,0.004060,0.042000,0.280000,1.000000,6.282851
0.020000,0.000000,0.000000,0.004960,0.048000,0.300000,1.000000,6.282999
0.020000,0.000000,0.000000,0.005984,0.054400,0.320000,1.000000,6.283167
0.020000,0.001044,0.000000,0.007140,0.061200,0.340000,1.000000,0.000171
0.020000,0.002341,0.000000,0.008436,0.068400,0.360000,1.000000,0.000384
0.020000,0.003785,0.000001,0.009880,0.076000,0.380000,1.000000,0.000621
0.020000,0.005384,0.000002,0.011480,0.084000,0.400000,1.000000,0.000884
0.020000,0.007148,0.000004,0.013244,0.092400,0.420000,1.000000,0.001175
0.020000,0.009085,0.000007,0.015180,0.101200,0.440000,1.000000,0.001494
0.020000,0.011200,0.000010,0.017296,0.110400,0.460000,1.000000,0.001842
0.020000,0.013505,0.000015,0.019600,0.120000,0.480000,1.000000,0.002223
0.020000,0.016005,0.000021,0.022100,0.130000,0.500000,1.000000,0.002636
0.020000,0.018708,0.000029,0.024804,0.140400,0.520000,1.000000,0.003083
0.020000,0.021625,0.000038,0.027720,0.151200,0.540000,1.000000,0.003566
0.020000,0.024760,0.000050,0.030856,0.162400,0.560000,1.000000,0.004087
0.020000,0.028125,0.000065,0.034220,0.174000,0.580000,1.000000,0.004646
0.020000,0.031724,0.000083,0.037820,0.186000,0.600000,1.000000,0.005245
0.020000,0.035568,0.000104,0.041664,0.198400,0.620000,1.000000,0.005886
0.020000,0.039664,0.000130,0.045760,0.211200,0.640000,1.000000,0.006571
0.020000,0.044020,0.000160,0.050116,0.224400,0.660000,1.000000,0.007300
0.020000,0.048644,0.000196,0.054740,0.238000,0.680000,1.000000,0.008076
0.020000,0.053544,0.000237,0.059640,0.252000,0.700000,1.000000,0.008901
0.020000,0.058728,0.000286,0.064824,0.266400,0.720000,1.000000,0.009775
