dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000295,-0.295000,0.000004,0.000400,0.020000,1.000000,6.282187
0.020000,-0.000294,-0.295000,0.000005,0.000039,-0.018068,-1.903408,6.282190
0.020000,-0.000292,-0.295000,0.000007,0.000087,0.002415,1.024150,6.282195
0.020000,-0.000289,-0.295000,0.000010,0.000155,0.003381,0.048302,6.282206
0.020000,-0.000284,-0.295000,0.000014,0.000241,0.004347,0.048310,6.282222
0.020000,-0.000277,-0.295000,0.000021,0.000348,0.005314,0.048323,6.282246
0.020000,-0.000268,-0.295000,0.000031,0.000473,0.006280,0.048342,6.282278
0.020000,-0.000255,-0.295000,0.000043,0.000618,0.007248,0.048369,6.282320
0.020000,-0.000240,-0.295000,0.000059,0.000783,0.008216,0.048405,6.282373
0.020000,-0.000220,-0.295000,0.000078,0.000966,0.009185,0.048451,6.282438
0.020000,-0.000197,-0.295000,0.000102,0.001169,0.010155,0.048508,6.282518
0.020000,-0.000169,-0.295000,0.000129,0.001392,0.011127,0.048579,6.282612
0.020000,-0.000136,-0.295000,0.000162,0.001634,0.012100,0.048663,6.282723
0.020000,-0.000098,-0.295000,0.000200,0.001895,0.013075,0.048762,6.282851
0.020000,-0.000055,-0.295000,0.000244,0.002177,0.014053,0.048878,6.282999
0.020000,-0.000005,-0.295000,0.000293,0.002477,0.015033,0.049012,6.283167
0.020000,0.001095,-0.295000,0.001394,0.055020,2.627161,130.606389,0.000171
0.020000,0.002454,-0.295000,0.002753,0.067954,0.646657,-99.025187,0.000384
0.020000,0.003968,-0.294999,0.004267,0.075699,0.387273,-12.969190,0.000621
0.020000,0.005645,-0.294998,0.005944,0.083859,0.407998,1.036253,0.000884
0.020000,0.007495,-0.294996,0.007793,0.092488,0.431444,1.172267,0.001175
0.020000,0.009525,-0.294993,0.009824,0.101520,0.451616,1.008604,0.001494
0.020000,0.011744,-0.294989,0.012042,0.110927,0.470353,0.936881,0.001842
0.020000,0.014160,-0.294984,0.014459,0.120814,0.494361,1.200370,0.002223
0.020000,0.016782,-0.294978,0.017081,0.131103,0.514440,1.003947,0.002636
0.020000,0.019618,-0.294970,0.019916,0.141773,0.533464,0.951225,0.003083
0.020000,0.022677,-0.294960,0.022975,0.152955,0.559104,1.281985,0.003566
0.020000,0.025966,-0.294947,0.026264,0.164446,0.574580,0.773800,0.004087
0.020000,0.029495,-0.294932,0.029794,0.176473,0.601361,1.339063,0.004646
0.020000,0.033272,-0.294913,0.033570,0.188830,0.617826,0.823246,0.005245
0.020000,0.037305,-0.294891,0.037603,0.201650,0.640989,1.158175,0.005886
0.020000,0.041603,-0.294864,0.041902,0.214916,0.663315,1.116295,0.006571
0.020000,0.046174,-0.294832,0.046473,0.228550,0.681692,0.918812,0.007300
0.020000,0.051026,-0.294795,0.051325,0.242620,0.703487,1.089795,0.008076
0.020000,0.056169,-0.294751,0.056469,0.257181,0.728051,1.228195,0.008901
0.020000,0.061611,-0.294700,0.061911,0.272108,0.746346,0.914710,0.009775
0.020000,0.067360,-0.294641,0.067660,0.287463,0.767758,1.070641,0.010701
0.020000,0.073425,-0.294574,0.073725,0.303248,0.789280,1.076080,0.011681
0.020000,0.079814,-0.294496,0.080114,0.319463,0.810716,1.071801,0.012715
0.020000,0.086535,-0.294406,0.086836,0.336104,0.832057,1.067047,0.013807
0.020000,0.093598,-0.294305,0.093900,0.353170,0.853293,1.061805,0.014958
0.020000,0.101010,-0.294190,0.101313,0.370658,0.874414,1.056066,0.016170
0.020000,0.108781,-0.294059,0.109085,0.388613,0.897731,1.165837,0.017445
0.020000,0.116920,-0.293911,0.117225,0.406984,0.918555,1.041170,0.018785
0.020000,0.125433,-0.293746,0.125740,0.425742,0.937935,0.969014,0.020192
0.020000,0.134330,-0.293559,0.134639,0.444979,0.961839,1.195204,0.021669
0.020000,0.143621,-0.293351,0.143932,0.464642,0.983129,1.064493,0.023217
0.020000,0.153312,-0.293118,0.153626,0.484720,1.003936,1.040349,0.024839
0.020000,0.163414,-0.292858,0.163731,0.505241,1.026040,1.105192,0.026537
0.020000,0.173935,-0.292570,0.174256,0.526232,1.049561,1.176068,0.028314
0.020000,0.184878,-0.292250,0.185204,0.547396,1.058178,0.430840,0.030172
0.020000,0.196244,-0.291896,0.196576,0.568593,1.059869,0.084572,0.032112
0.020000,0.208034,-0.291505,0.208372,0.589821,1.061372,0.075121,0.034134
0.020000,0.220248,-0.291075,0.220594,0.611078,1.062860,0.074401,0.036241
0.020000,0.232886,-0.290603,0.233241,0.632347,1.063453,0.029649,0.038434
0.020000,0.245949,-0.290086,0.246314,0.653645,1.064909,0.072802,0.040714
0.020000,0.259436,-0.289520,0.259813,0.674955,1.065468,0.027965,0.043083
0.020000,0.273348,-0.288903,0.273738,0.696275,1.066009,0.027076,0.045542
0.020000,0.287684,-0.288232,0.288090,0.717602,1.066357,0.017373,0.048093
0.020000,0.302447,-0.287502,0.302871,0.739032,1.071504,0.257361,0.050738
0.020000,0.317634,-0.286710,0.318079,0.760408,1.068794,-0.135499,0.053478
0.020000,0.333248,-0.285852,0.333716,0.781866,1.072900,0.205269,0.056316
0.020000,0.349287,-0.284924,0.349782,0.803284,1.070901,-0.099928,0.059253
0.020000,0.365754,-0.283922,0.366279,0.824845,1.078074,0.358654,0.062291
0.020000,0.382646,-0.282842,0.383206,0.846347,1.075104,-0.148484,0.065433
0.020000,0.399965,-0.281679,0.400564,0.867897,1.077493,0.119424,0.068680
0.020000,0.417711,-0.280428,0.418354,0.889491,1.079677,0.109227,0.072036
0.020000,0.435884,-0.279085,0.436576,0.911124,1.081656,0.098926,0.075502
0.020000,0.454484,-0.277645,0.455232,0.932792,1.083428,0.088582,0.079081
0.020000,0.473511,-0.276101,0.474322,0.954492,1.084992,0.078212,0.082775
0.020000,0.492966,-0.274450,0.493846,0.976219,1.086349,0.067837,0.086588
0.020000,0.512848,-0.272685,0.513807,0.998033,1.090670,0.216078,0.090522
0.020000,0.533158,-0.270800,0.534204,1.019862,1.091490,0.040976,0.094580
0.020000,0.553895,-0.268789,0.555038,1.041714,1.092574,0.054210,0.098765
0.020000,0.575060,-0.266646,0.576311,1.063658,1.097210,0.231831,0.103080
0.020000,0.596648,-0.264364,0.598020,1.085415,1.087845,-0.468260,0.107528
0.020000,0.618650,-0.261938,0.620155,1.106775,1.067993,-0.992591,0.112111
0.020000,0.641058,-0.259362,0.642711,1.127777,1.050087,-0.895303,0.116829
0.020000,0.663863,-0.256629,0.665679,1.148425,1.032410,-0.883880,0.121685
0.020000,0.687057,-0.253734,0.689053,1.168681,1.012789,-0.981059,0.126680
0.020000,0.710630,-0.250670,0.712824,1.188571,0.994496,-0.914635,0.131817
0.020000,0.734574,-0.247432,0.736986,1.208093,0.976133,-0.918161,0.137097
0.020000,0.758879,-0.244011,0.761531,1.227225,0.956570,-0.978128,0.142522
0.020000,0.783536,-0.240403,0.786450,1.245968,0.937159,-0.970571,0.148094
0.020000,0.808536,-0.236601,0.811738,1.264381,0.920656,-0.825116,0.153814
0.020000,0.833870,-0.232597,0.837386,1.282405,0.901205,-0.972587,0.159686
0.020000,0.859527,-0.228385,0.863387,1.300054,0.882471,-0.936702,0.165710
0.020000,0.885499,-0.223959,0.889733,1.317320,0.863274,-0.959815,0.171889
0.020000,0.911777,-0.219312,0.916419,1.334270,0.847528,-0.787298,0.178225
0.020000,0.938349,-0.214436,0.943435,1.350793,0.826111,-1.070845,0.184719
0.020000,0.965206,-0.209326,0.970774,1.366957,0.808205,-0.895301,0.191374
0.020000,0.992339,-0.203973,0.998429,1.382758,0.790046,-0.907976,0.198192
0.020000,1.019736,-0.198372,1.026393,1.398191,0.771643,-0.920163,0.205175
0.020000,1.047387,-0.192514,1.054658,1.413251,0.753006,-0.931852,0.212324
0.020000,1.075282,-0.186394,1.083216,1.427934,0.734145,-0.943035,0.219642
0.020000,1.103410,-0.180004,1.112061,1.442235,0.715071,-0.953708,0.227129
0.020000,1.131760,-0.173338,1.141184,1.456158,0.696139,-0.946590,0.234789
0.020000,1.160322,-0.166388,1.170579,1.469766,0.680417,-0.786089,0.242623
0.020000,1.189083,-0.159148,1.200238,1.482914,0.657379,-1.151916,0.250632
0.020000,1.218033,-0.151610,1.230153,1.495743,0.641440,-0.796941,0.258817
0.020000,1.247158,-0.143768,1.260316,1.508145,0.620116,-1.066180,0.267181
0.020000,1.276450,-0.135616,1.290720,1.520225,0.604003,-0.805667,0.275724
0.020000,1.305893,-0.127147,1.321357,1.531861,0.581782,-1.111032,0.284448
0.020000,1.335477,-0.118355,1.352220,1.543126,0.563279,-0.925192,0.293353
0.020000,1.365189,-0.109233,1.383301,1.554048,0.546117,-0.858084,0.302440
0.020000,1.395016,-0.099775,1.414591,1.564535,0.524319,-1.089905,0.311710
0.020000,1.424945,-0.089975,1.446084,1.574632,0.504834,-0.974227,0.321164
0.020000,1.454963,-0.079828,1.477771,1.584333,0.485050,-0.989197,0.330800
0.020000,1.485057,-0.069328,1.509643,1.593632,0.464971,-1.003990,0.340620
0.020000,1.515212,-0.058470,1.541694,1.602524,0.444598,-1.018612,0.350622
0.020000,1.545415,-0.047250,1.573914,1.611003,0.423937,-1.033071,0.360807
0.020000,1.575652,-0.035662,1.606296,1.619095,0.404599,-0.966919,0.371173
0.020000,1.605909,-0.023701,1.638831,1.626746,0.382582,-1.100821,0.381718
0.020000,1.636171,-0.011366,1.671510,1.633958,0.360576,-1.100317,0.392441
0.020000,1.666422,0.001349,1.704325,1.640750,0.339627,-1.047416,0.403341
0.020000,1.696650,0.014446,1.737268,1.647134,0.319205,-1.021126,0.414414
0.020000,1.726837,0.027927,1.770328,1.653023,0.294411,-1.239685,0.425658
0.020000,1.756969,0.041796,1.803499,1.658528,0.275249,-0.958095,0.437070
0.020000,1.787030,0.056053,1.836769,1.663513,0.249251,-1.299931,0.448645
0.020000,1.817005,0.070699,1.870131,1.668102,0.229486,-0.988255,0.460381
0.020000,1.846877,0.085735,1.903574,1.672164,0.203105,-1.319052,0.472271
0.020000,1.876632,0.101161,1.937090,1.675799,0.181715,-1.069474,0.484312
0.020000,1.906254,0.116976,1.970669,1.678930,0.156540,-1.258768,0.496498
0.020000,1.935725,0.133178,2.004300,1.681562,0.131634,-1.245287,0.508822
0.020000,1.965031,0.149765,2.037975,1.683733,0.108518,-1.155806,0.521279
0.020000,1.994160,0.166736,2.071687,1.685606,0.093673,-0.742224,0.533863
0.020000,2.023102,0.184094,2.105435,1.687416,0.090485,-0.159409,0.546570
0.020000,2.051851,0.201837,2.139218,1.689166,0.087515,-0.148536,0.559396
0.020000,2.080397,0.219968,2.173036,1.690869,0.085157,-0.117865,0.572337
0.020000,2.108732,0.238486,2.206885,1.692484,0.080733,-0.221193,0.585388
0.020000,2.136848,0.257391,2.240766,1.694020,0.076796,-0.196861,0.598542
0.020000,2.164735,0.276682,2.274675,1.695476,0.072798,-0.199914,0.611796
0.020000,2.192386,0.296358,2.308612,1.696847,0.068557,-0.212035,0.625142
0.020000,2.219792,0.316418,2.342575,1.698129,0.064085,-0.223617,0.638576
