dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.102875,1.544637,0.000004,0.000399,0.019947,0.997373,0.001400
0.020000,2.102879,1.544637,0.000008,0.000205,-0.009687,-1.481713,0.001386
0.020000,2.102888,1.544637,0.000017,0.000462,0.012824,1.125539,0.001355
0.020000,2.102904,1.544637,0.000034,0.000821,0.017948,0.256223,0.001299
0.020000,2.102930,1.544637,0.000059,0.001282,0.023065,0.255830,0.001212
0.020000,2.102967,1.544637,0.000096,0.001845,0.028169,0.255186,0.001087
0.020000,2.103017,1.544637,0.000146,0.002510,0.033253,0.254229,0.000917
0.020000,2.103083,1.544638,0.000212,0.003277,0.038311,0.252897,0.000695
0.020000,2.103165,1.544638,0.000295,0.004143,0.043334,0.251128,0.000414
0.020000,2.103268,1.544638,0.000397,0.005110,0.048311,0.248859,0.000067
0.020000,2.103796,1.544638,0.000926,0.026432,1.066110,50.889935,6.282834
0.020000,2.104517,1.544637,0.001647,0.036058,0.481306,-29.240191,6.282337
0.020000,2.105364,1.544636,0.002493,0.042306,0.312389,-8.445842,6.281754
0.020000,2.106344,1.544634,0.003474,0.049031,0.336250,1.193025,6.281081
0.020000,2.107469,1.544632,0.004599,0.056262,0.361589,1.266992,6.280309
0.020000,2.108749,1.544627,0.005878,0.063965,0.385137,1.177402,6.279435
0.020000,2.110192,1.544621,0.007321,0.072161,0.409770,1.231607,6.278451
0.020000,2.111809,1.544613,0.008938,0.080835,0.433739,1.198473,6.277352
0.020000,2.113608,1.544601,0.010738,0.089984,0.457409,1.183515,6.276134
0.020000,2.115600,1.544586,0.012730,0.099602,0.480901,1.174578,6.274790
0.020000,2.117794,1.544566,0.014923,0.109686,0.504200,1.164943,6.273318
0.020000,2.120198,1.544540,0.017328,0.120231,0.527292,1.154586,6.271712
0.020000,2.122823,1.544508,0.019953,0.131235,0.550161,1.143486,6.269969
0.020000,2.125676,1.544467,0.022807,0.142687,0.572608,1.122354,6.268085
0.020000,2.128767,1.544417,0.025898,0.154572,0.594264,1.082793,6.266058
0.020000,2.132105,1.544357,0.029236,0.166901,0.616443,1.108962,6.263884
0.020000,2.135697,1.544283,0.032829,0.179654,0.637674,1.061531,6.261563
0.020000,2.139553,1.544195,0.036686,0.192822,0.658388,1.035720,6.259093
0.020000,2.143679,1.544090,0.040813,0.206397,0.678758,1.018474,6.256474
0.020000,2.148085,1.543966,0.045221,0.220373,0.698768,1.000520,6.253704
0.020000,2.152777,1.543821,0.049916,0.234741,0.718405,0.981856,6.250786
0.020000,2.157764,1.543652,0.054906,0.249488,0.737382,0.948827,6.247720
0.020000,2.163053,1.543456,0.060197,0.264598,0.755467,0.904256,6.244508
0.020000,2.168649,1.543230,0.065799,0.280066,0.773407,0.897017,6.241154
0.020000,2.174561,1.542971,0.071716,0.295881,0.790735,0.866385,6.237661
0.020000,2.180795,1.542675,0.077957,0.312027,0.807338,0.830139,6.234033
0.020000,2.187356,1.542340,0.084527,0.328493,0.823292,0.797724,6.230277
0.020000,2.194251,1.541961,0.091432,0.345261,0.838369,0.753821,6.226397
0.020000,2.201485,1.541536,0.098679,0.362330,0.853451,0.754108,6.222402
0.020000,2.209064,1.541059,0.106272,0.379676,0.867311,0.693006,6.218299
0.020000,2.216992,1.540527,0.114218,0.397286,0.880497,0.659315,6.214098
0.020000,2.225273,1.539936,0.122521,0.415150,0.893189,0.634566,6.209808
0.020000,2.233914,1.539282,0.131186,0.433257,0.905375,0.609332,6.205440
0.020000,2.242917,1.538560,0.140218,0.451577,0.915972,0.529835,6.201006
0.020000,2.252285,1.537767,0.149620,0.470116,0.926975,0.550164,6.196519
0.020000,2.262024,1.536899,0.159397,0.488848,0.936591,0.480791,6.191993
0.020000,2.272135,1.535951,0.169552,0.507762,0.945704,0.455647,6.187443
0.020000,2.282621,1.534920,0.180089,0.526837,0.953731,0.401330,6.182883
0.020000,2.293485,1.533801,0.191010,0.546070,0.961674,0.397165,6.178332
0.020000,2.304729,1.532592,0.202319,0.565434,0.968212,0.326888,6.173807
0.020000,2.316350,1.531289,0.214013,0.584695,0.963035,-0.258849,6.169328
0.020000,2.328341,1.529891,0.226085,0.603624,0.946430,-0.830263,6.164918
0.020000,2.340695,1.528396,0.238529,0.622212,0.929424,-0.850254,6.160601
0.020000,2.353405,1.526802,0.251339,0.640455,0.912156,-0.863403,6.156399
0.020000,2.366462,1.525111,0.264505,0.658347,0.894588,-0.878435,6.152336
0.020000,2.379861,1.523320,0.278023,0.675886,0.876972,-0.880765,6.148437
0.020000,2.393593,1.521433,0.291885,0.693070,0.859204,-0.888413,6.144725
0.020000,2.407652,1.519448,0.306082,0.709883,0.840651,-0.927653,6.141225
0.020000,2.422029,1.517369,0.320609,0.726330,0.822352,-0.914943,6.137963
0.020000,2.436717,1.515198,0.335457,0.742399,0.803438,-0.945707,6.134964
