dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.103287,1.249638,0.000004,0.000399,0.019947,0.997373,0.001400
0.020000,2.103287,1.249638,0.000020,0.001197,0.039895,0.997373,0.001386
0.020000,2.103287,1.249638,0.000056,0.002394,0.059842,0.997373,0.001355
0.020000,2.103287,1.249638,0.000120,0.003989,0.079790,0.997373,0.001299
0.020000,2.103287,1.249638,0.000219,0.005984,0.099737,0.997373,0.001212
0.020000,2.103287,1.249638,0.000363,0.008378,0.119685,0.997373,0.001087
0.020000,2.103287,1.249638,0.000559,0.011171,0.139632,0.997373,0.000917
0.020000,2.103287,1.249638,0.000814,0.014362,0.159580,0.997373,0.000695
0.020000,2.103287,1.249638,0.001137,0.017953,0.179527,0.997373,0.000414
0.020000,2.103287,1.249638,0.001536,0.021942,0.199475,0.997373,0.000067
0.020000,2.103693,1.249638,0.002019,0.026331,0.219422,0.997373,6.282834
0.020000,2.104267,1.249637,0.002593,0.031118,0.239369,0.997373,6.282337
0.020000,2.104941,1.249636,0.003267,0.036304,0.259317,0.997373,6.281754
0.020000,2.105723,1.249635,0.004049,0.041890,0.279264,0.997373,6.281081
0.020000,2.106621,1.249633,0.004947,0.047874,0.299212,0.997373,6.280309
0.020000,2.107642,1.249629,0.005968,0.054257,0.319159,0.997373,6.279435
0.020000,2.108795,1.249625,0.007121,0.061039,0.339107,0.997373,6.278451
0.020000,2.110088,1.249618,0.008414,0.068220,0.359054,0.997373,6.277352
0.020000,2.111528,1.249608,0.009854,0.075800,0.379002,0.997373,6.276134
0.020000,2.113124,1.249596,0.011450,0.083779,0.398949,0.997373,6.274790
0.020000,2.114883,1.249580,0.013209,0.092157,0.418896,0.997373,6.273318
0.020000,2.116814,1.249559,0.015140,0.100934,0.438844,0.997373,6.271712
0.020000,2.118924,1.249533,0.017251,0.110110,0.458791,0.997373,6.269969
0.020000,2.121222,1.249501,0.019549,0.119685,0.478739,0.997373,6.268085
0.020000,2.123715,1.249461,0.022042,0.129658,0.498686,0.997373,6.266058
0.020000,2.126411,1.249412,0.024739,0.140031,0.518634,0.997373,6.263884
0.020000,2.129319,1.249352,0.027647,0.150803,0.538581,0.997373,6.261563
0.020000,2.132446,1.249281,0.030775,0.161973,0.558529,0.997373,6.259093
0.020000,2.135800,1.249195,0.034130,0.173543,0.578476,0.997373,6.256474
0.020000,2.139389,1.249094,0.037721,0.185511,0.598424,0.997373,6.253704
0.020000,2.143221,1.248976,0.041555,0.197879,0.618371,0.997373,6.250786
0.020000,2.147304,1.248837,0.045640,0.210645,0.638318,0.997373,6.247720
0.020000,2.151646,1.248676,0.049984,0.223810,0.658266,0.997373,6.244508
0.020000,2.156254,1.248490,0.054596,0.237375,0.678213,0.997373,6.241154
0.020000,2.161136,1.248276,0.059483,0.251338,0.698161,0.997373,6.237661
0.020000,2.166301,1.248031,0.064654,0.265700,0.718108,0.997373,6.234033
0.020000,2.171755,1.247753,0.070115,0.280461,0.738056,0.997373,6.230277
0.020000,2.177507,1.247437,0.075876,0.295621,0.758003,0.997373,6.226397
0.020000,2.183565,1.247080,0.081944,0.311180,0.777951,0.997373,6.222402
0.020000,2.189936,1.246680,0.088327,0.327138,0.797898,0.997373,6.218299
0.020000,2.196627,1.246231,0.095034,0.343495,0.817845,0.997373,6.214098
0.020000,2.203646,1.245730,0.102071,0.360251,0.837793,0.997373,6.209808
0.020000,2.211002,1.245173,0.109448,0.377406,0.857740,0.997373,6.205440
0.020000,2.218701,1.244556,0.117171,0.394960,0.877688,0.997373,6.201006
