dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.103700,0.954638,0.000004,0.000399,0.019947,0.997373,0.001400
0.020000,2.103696,0.954638,0.000008,0.000205,-0.009687,-1.481713,0.001386
0.020000,2.103687,0.954638,0.000017,0.000462,0.012824,1.125539,0.001355
0.020000,2.103671,0.954638,0.000034,0.000821,0.017948,0.256223,0.001299
0.020000,2.103645,0.954638,0.000059,0.001282,0.023065,0.255830,0.001212
0.020000,2.103608,0.954638,0.000096,0.001845,0.028169,0.255186,0.001087
0.020000,2.103558,0.954638,0.000146,0.002510,0.033253,0.254229,0.000917
0.020000,2.103492,0.954638,0.000212,0.003277,0.038311,0.252897,0.000695
0.020000,2.103410,0.954638,0.000295,0.004143,0.043334,0.251128,0.000414
0.020000,2.103307,0.954638,0.000397,0.005110,0.048311,0.248859,0.000067
0.020000,2.103589,0.954638,0.000679,0.014086,0.448799,20.024391,6.282834
0.020000,2.104017,0.954637,0.001107,0.021389,0.365183,-4.180798,6.282337
0.020000,2.104519,0.954637,0.001609,0.025124,0.186731,-8.922616,6.281754
0.020000,2.105102,0.954636,0.002192,0.029156,0.201611,0.744028,6.281081
0.020000,2.105773,0.954634,0.002862,0.033507,0.217566,0.797730,6.280309
0.020000,2.106536,0.954631,0.003626,0.038161,0.232678,0.755616,6.279435
0.020000,2.107398,0.954628,0.004488,0.043135,0.248691,0.800639,6.278451
0.020000,2.108367,0.954623,0.005457,0.048427,0.264597,0.795289,6.277352
0.020000,2.109448,0.954616,0.006538,0.054040,0.280645,0.802429,6.276134
0.020000,2.110647,0.954606,0.007737,0.059978,0.296944,0.814948,6.274790
0.020000,2.111972,0.954594,0.009062,0.066249,0.313522,0.828915,6.273318
0.020000,2.113429,0.954579,0.010519,0.072857,0.330410,0.844388,6.271712
0.020000,2.115025,0.954559,0.012115,0.079810,0.347639,0.861420,6.269969
0.020000,2.116767,0.954534,0.013858,0.087112,0.365126,0.874389,6.268085
0.020000,2.118662,0.954504,0.015753,0.094766,0.382687,0.878039,6.266058
0.020000,2.120718,0.954466,0.017809,0.102789,0.401168,0.924034,6.263884
0.020000,2.122941,0.954421,0.020032,0.111184,0.419710,0.927118,6.261563
0.020000,2.125340,0.954366,0.022432,0.119956,0.438618,0.945388,6.259093
0.020000,2.127921,0.954301,0.025014,0.129117,0.458039,0.971038,6.256474
0.020000,2.130694,0.954223,0.027787,0.138677,0.478007,0.998398,6.253704
0.020000,2.133665,0.954131,0.030760,0.148648,0.498556,1.027455,6.250786
0.020000,2.136844,0.954023,0.033941,0.159039,0.519545,1.049458,6.247720
0.020000,2.140239,0.953897,0.037338,0.169856,0.540861,1.065817,6.244508
0.020000,2.143858,0.953751,0.040961,0.181117,0.563018,1.107841,6.241154
0.020000,2.147711,0.953582,0.044817,0.192832,0.585755,1.136820,6.237661
0.020000,2.151807,0.953388,0.048918,0.205012,0.609029,1.163731,6.234033
0.020000,2.156155,0.953166,0.053271,0.217671,0.632921,1.194574,6.230277
0.020000,2.160764,0.952913,0.057887,0.230817,0.657302,1.219075,6.226397
0.020000,2.165645,0.952625,0.062777,0.244472,0.682791,1.274429,6.222402
0.020000,2.170808,0.952300,0.067950,0.258644,0.708590,1.289958,6.218299
0.020000,2.176262,0.951934,0.073417,0.273346,0.735081,1.324539,6.214098
0.020000,2.182020,0.951523,0.079188,0.288594,0.762405,1.366220,6.209808
0.020000,2.188090,0.951064,0.085277,0.304406,0.790578,1.408639,6.205440
0.020000,2.194485,0.950551,0.091692,0.320782,0.818844,1.413307,6.201006
0.020000,2.201216,0.949982,0.098447,0.337755,0.848621,1.488846,6.196519
0.020000,2.208295,0.949350,0.105554,0.355328,0.878652,1.501545,6.191993
0.020000,2.215733,0.948653,0.113024,0.373519,0.909571,1.545977,6.187443
