dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.393866,0.876272,0.000004,0.000400,0.020000,1.000000,0.545451
0.020000,6.393860,0.876269,0.000010,0.000319,-0.004069,-1.203456,0.545473
0.020000,6.393848,0.876261,0.000025,0.000717,0.019910,1.198972,0.545522
0.020000,6.393826,0.876248,0.000050,0.001274,0.027865,0.397747,0.545608
0.020000,6.393792,0.876228,0.000090,0.001990,0.035806,0.397043,0.545743
0.020000,6.393743,0.876198,0.000147,0.002865,0.043724,0.395889,0.545937
0.020000,6.393677,0.876157,0.000225,0.003897,0.051607,0.394173,0.546201
0.020000,6.393590,0.876104,0.000327,0.005086,0.059443,0.391784,0.546546
0.020000,6.393603,0.876112,0.000342,0.000752,-0.216689,-13.806627,0.546982
0.020000,6.393809,0.876238,0.000583,0.012072,0.565999,39.134409,0.547520
0.020000,6.394059,0.876390,0.000876,0.014623,0.127555,-21.922191,0.548169
0.020000,6.394356,0.876572,0.001224,0.017424,0.140046,0.624565,0.548940
0.020000,6.394705,0.876786,0.001634,0.020480,0.152799,0.637622,0.549843
0.020000,6.395111,0.877035,0.002110,0.023793,0.165672,0.643683,0.550888
0.020000,6.395577,0.877322,0.002657,0.027368,0.178753,0.654016,0.552083
0.020000,6.396108,0.877649,0.003281,0.031210,0.192097,0.667199,0.553438
0.020000,6.396709,0.878021,0.003988,0.035324,0.205705,0.680437,0.554962
0.020000,6.397384,0.878440,0.004782,0.039718,0.219654,0.697451,0.556662
0.020000,6.398137,0.878910,0.005670,0.044397,0.233968,0.715688,0.558547
0.020000,6.398974,0.879434,0.006658,0.049369,0.248606,0.731892,0.560624
0.020000,6.399899,0.880016,0.007750,0.054645,0.263786,0.759009,0.562899
0.020000,6.400917,0.880660,0.008955,0.060233,0.279388,0.780109,0.565378
0.020000,6.402033,0.881371,0.010278,0.066143,0.295542,0.807683,0.568067
0.020000,6.403252,0.882151,0.011726,0.072389,0.312302,0.838015,0.570969
0.020000,6.404580,0.883007,0.013305,0.078983,0.329696,0.869677,0.574089
0.020000,6.406022,0.883943,0.015024,0.085939,0.347762,0.903336,0.577429
0.020000,6.407583,0.884964,0.016890,0.093270,0.366597,0.941715,0.580990
0.020000,6.409269,0.886076,0.018910,0.100996,0.386260,0.983155,0.584773
0.020000,6.411087,0.887284,0.021092,0.109130,0.406724,1.023199,0.588778
0.020000,6.413042,0.888596,0.023446,0.117694,0.428199,1.073757,0.593002
0.020000,6.415140,0.890017,0.025980,0.126705,0.450556,1.117863,0.597443
0.020000,6.417388,0.891554,0.028704,0.136186,0.474036,1.174004,0.602094
0.020000,6.419793,0.893215,0.031627,0.146157,0.498550,1.225690,0.606951
0.020000,6.422362,0.895009,0.034760,0.156641,0.524224,1.283712,0.612006
0.020000,6.425101,0.896943,0.038113,0.167664,0.551113,1.344447,0.617249
0.020000,6.428019,0.899026,0.041698,0.179249,0.579261,1.407374,0.622670
0.020000,6.431123,0.901267,0.045526,0.191422,0.608658,1.469858,0.628255
0.020000,6.434420,0.903677,0.049611,0.204212,0.639475,1.540832,0.633990
