dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.546913,0.624079,0.000004,0.000400,0.020000,1.000000,0.545451
0.020000,6.546913,0.624079,0.000020,0.001200,0.040000,1.000000,0.545473
0.020000,6.546913,0.624079,0.000056,0.002400,0.060000,1.000000,0.545522
0.020000,6.546913,0.624079,0.000120,0.004000,0.080000,1.000000,0.545608
0.020000,6.546913,0.624079,0.000220,0.006000,0.100000,1.000000,0.545743
0.020000,6.546913,0.624079,0.000364,0.008400,0.120000,1.000000,0.545937
0.020000,6.546913,0.624079,0.000560,0.011200,0.140000,1.000000,0.546201
0.020000,6.546913,0.624079,0.000816,0.014400,0.160000,1.000000,0.546546
0.020000,6.547036,0.624153,0.001140,0.018000,0.180000,1.000000,0.546982
0.020000,6.547377,0.624361,0.001540,0.022000,0.200000,1.000000,0.547520
0.020000,6.547791,0.624614,0.002024,0.026400,0.220000,1.000000,0.548169
0.020000,6.548282,0.624914,0.002600,0.031200,0.240000,1.000000,0.548940
0.020000,6.548859,0.625267,0.003276,0.036400,0.260000,1.000000,0.549843
0.020000,6.549527,0.625677,0.004060,0.042000,0.280000,1.000000,0.550888
0.020000,6.550293,0.626149,0.004960,0.048000,0.300000,1.000000,0.552083
0.020000,6.551165,0.626686,0.005984,0.054400,0.320000,1.000000,0.553438
0.020000,6.552148,0.627295,0.007140,0.061200,0.340000,1.000000,0.554962
0.020000,6.553249,0.627978,0.008436,0.068400,0.360000,1.000000,0.556662
0.020000,6.554474,0.628742,0.009880,0.076000,0.380000,1.000000,0.558547
0.020000,6.555830,0.629592,0.011480,0.084000,0.400000,1.000000,0.560624
0.020000,6.557323,0.630531,0.013244,0.092400,0.420000,1.000000,0.562899
0.020000,6.558959,0.631567,0.015180,0.101200,0.440000,1.000000,0.565378
0.020000,6.560744,0.632703,0.017296,0.110400,0.460000,1.000000,0.568067
0.020000,6.562684,0.633945,0.019600,0.120000,0.480000,1.000000,0.570969
0.020000,6.564786,0.635299,0.022100,0.130000,0.500000,1.000000,0.574089
0.020000,6.567054,0.636772,0.024804,0.140400,0.520000,1.000000,0.577429
0.020000,6.569494,0.638368,0.027720,0.151200,0.540000,1.000000,0.580990
0.020000,6.572112,0.640094,0.030856,0.162400,0.560000,1.000000,0.584773
0.020000,6.574914,0.641956,0.034220,0.174000,0.580000,1.000000,0.588778
0.020000,6.577903,0.643962,0.037820,0.186000,0.600000,1.000000,0.593002
0.020000,6.581086,0.646117,0.041664,0.198400,0.620000,1.000000,0.597443
0.020000,6.584467,0.648429,0.045760,0.211200,0.640000,1.000000,0.602094
0.020000,6.588051,0.650905,0.050116,0.224400,0.660000,1.000000,0.606951
0.020000,6.591843,0.653552,0.054740,0.238000,0.680000,1.000000,0.612006
0.020000,6.595846,0.656378,0.059640,0.252000,0.700000,1.000000,0.617249
0.020000,6.600065,0.659390,0.064824,0.266400,0.720000,1.000000,0.622670
0.020000,6.604504,0.662596,0.070300,0.281200,0.740000,1.000000,0.628255
0.020000,6.609168,0.666004,0.076076,0.296400,0.760000,1.000000,0.633990
0.020000,6.614059,0.669623,0.082160,0.312000,0.780000,1.000000,0.639858
0.020000,6.619181,0.673459,0.088560,0.328000,0.800000,1.000000,0.645841
0.020000,6.624538,0.677523,0.095284,0.344400,0.820000,1.000000,0.651919
0.020000,6.630134,0.681821,0.102340,0.361200,0.840000,1.000000,0.658069
0.020000,6.635972,0.686362,0.109736,0.378400,0.860000,1.000000,0.664267
0.020000,6.642054,0.691156,0.117480,0.396000,0.880000,1.000000,0.670487
0.020000,6.648385,0.696208,0.125580,0.414000,0.900000,1.000000,0.676699
0.020000,6.654967,0.701529,0.134044,0.432400,0.920000,1.000000,0.682873
