dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.699960,0.371885,0.000004,0.000400,0.020000,1.000000,0.545451
0.020000,6.699966,0.371888,0.000010,0.000319,-0.004069,-1.203456,0.545473
0.020000,6.699978,0.371896,0.000025,0.000717,0.019910,1.198972,0.545522
0.020000,6.700000,0.371909,0.000050,0.001274,0.027865,0.397747,0.545608
0.020000,6.700034,0.371930,0.000090,0.001990,0.035806,0.397043,0.545743
0.020000,6.700083,0.371960,0.000147,0.002865,0.043724,0.395889,0.545937
0.020000,6.700149,0.372000,0.000225,0.003897,0.051607,0.394173,0.546201
0.020000,6.700236,0.372053,0.000327,0.005086,0.059443,0.391784,0.546546
0.020000,6.700469,0.372194,0.000599,0.013612,0.426301,18.342879,0.546982
0.020000,6.700946,0.372485,0.001158,0.027927,0.715785,14.474224,0.547520
0.020000,6.701522,0.372837,0.001833,0.033778,0.292530,-21.162770,0.548169
0.020000,6.702208,0.373256,0.002637,0.040175,0.319848,1.365905,0.548940
0.020000,6.703012,0.373748,0.003579,0.047120,0.347261,1.370667,0.549843
0.020000,6.703943,0.374319,0.004671,0.054607,0.374354,1.354660,0.550888
0.020000,6.705010,0.374976,0.005924,0.062632,0.401225,1.343526,0.552083
0.020000,6.706221,0.375723,0.007348,0.071190,0.427896,1.333544,0.553438
0.020000,6.707587,0.376568,0.008953,0.080275,0.454254,1.317931,0.554962
0.020000,6.709114,0.377516,0.010751,0.089882,0.480350,1.304789,0.556662
0.020000,6.710811,0.378575,0.012751,0.100004,0.506108,1.287885,0.558547
0.020000,6.712686,0.379749,0.014964,0.110630,0.531300,1.259606,0.560624
0.020000,6.714747,0.381046,0.017399,0.121755,0.556273,1.248670,0.562899
0.020000,6.717001,0.382473,0.020066,0.133368,0.580607,1.216667,0.565378
0.020000,6.719455,0.384035,0.022975,0.145456,0.604433,1.191334,0.568067
0.020000,6.722116,0.385739,0.026135,0.158010,0.627712,1.163924,0.570969
0.020000,6.724991,0.387592,0.029556,0.171017,0.650333,1.131037,0.574089
0.020000,6.728086,0.389600,0.033245,0.184461,0.672212,1.093978,0.577429
0.020000,6.731405,0.391771,0.037212,0.198329,0.693380,1.058385,0.580990
0.020000,6.734955,0.394112,0.041464,0.212605,0.713787,1.020382,0.584773
0.020000,6.738740,0.396629,0.046009,0.227269,0.733199,0.970568,0.588778
0.020000,6.742765,0.399328,0.050855,0.242306,0.751876,0.933863,0.593002
0.020000,6.747032,0.402218,0.056009,0.257694,0.769373,0.874866,0.597443
0.020000,6.751546,0.405305,0.061477,0.273414,0.786012,0.831931,0.602094
0.020000,6.756309,0.408595,0.067266,0.289443,0.801439,0.771329,0.606951
0.020000,6.761323,0.412096,0.073381,0.305758,0.815746,0.715368,0.612006
0.020000,6.766590,0.415813,0.079828,0.322335,0.828882,0.656821,0.617249
0.020000,6.772111,0.419754,0.086611,0.339151,0.840783,0.595039,0.622670
0.020000,6.777886,0.423925,0.093735,0.356177,0.851296,0.525625,0.628255
0.020000,6.783915,0.428331,0.101202,0.373389,0.860611,0.465772,0.633990
0.020000,6.790198,0.432979,0.109017,0.390756,0.868344,0.386637,0.639858
0.020000,6.796733,0.437874,0.117182,0.408252,0.874785,0.322078,0.645841
0.020000,6.803519,0.443021,0.125699,0.425850,0.879906,0.256035,0.651919
0.020000,6.810553,0.448424,0.134570,0.443515,0.883253,0.167343,0.658069
0.020000,6.817834,0.454089,0.143794,0.461219,0.885231,0.098905,0.664267
0.020000,6.825357,0.460017,0.153373,0.478936,0.885840,0.030453,0.670487
0.020000,6.833120,0.466213,0.163305,0.496628,0.884575,-0.063261,0.676699
0.020000,6.841119,0.472679,0.173591,0.514266,0.881906,-0.133428,0.682873
