dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.205021,3.313459,0.000004,0.000400,0.020000,1.000000,0.000064
0.020000,0.205021,3.313459,0.000004,0.000005,-0.019731,-1.986562,0.000064
0.020000,0.205021,3.313459,0.000004,0.000012,0.000336,1.003355,0.000063
0.020000,0.205021,3.313459,0.000005,0.000021,0.000470,0.006706,0.000062
0.020000,0.205022,3.313459,0.000005,0.000034,0.000604,0.006688,0.000059
0.020000,0.205023,3.313459,0.000006,0.000048,0.000737,0.006659,0.000056
0.020000,0.205024,3.313459,0.000008,0.000066,0.000869,0.006617,0.000052
0.020000,0.205026,3.313459,0.000009,0.000086,0.001000,0.006557,0.000046
0.020000,0.205028,3.313459,0.000012,0.000108,0.001130,0.006478,0.000039
0.020000,0.205031,3.313459,0.000014,0.000133,0.001258,0.006377,0.000030
0.020000,0.205034,3.313459,0.000018,0.000161,0.001383,0.006250,0.000019
0.020000,0.205038,3.313459,0.000021,0.000191,0.001504,0.006095,0.000006
0.020000,0.205466,3.313459,0.000450,0.021414,1.061159,52.982753,6.283176
0.020000,0.206255,3.313459,0.001239,0.039458,0.902196,-7.948172,6.283158
0.020000,0.207161,3.313459,0.002145,0.045295,0.291850,-30.517295,6.283138
0.020000,0.208192,3.313459,0.003175,0.051534,0.311950,1.004968,6.283116
0.020000,0.209356,3.313459,0.004339,0.058175,0.332036,1.004329,6.283090
0.020000,0.210660,3.313459,0.005643,0.065218,0.352143,1.005361,6.283062
0.020000,0.212113,3.313459,0.007096,0.072662,0.372200,1.002840,6.283031
0.020000,0.213723,3.313459,0.008707,0.080508,0.392295,1.004748,6.282996
0.020000,0.215498,3.313458,0.010482,0.088754,0.412330,1.001739,6.282959
0.020000,0.217446,3.313458,0.012430,0.097402,0.432396,1.003322,6.282918
0.020000,0.219575,3.313457,0.014559,0.106451,0.452429,1.001638,6.282874
0.020000,0.221893,3.313456,0.016877,0.115900,0.472440,1.000540,6.282826
0.020000,0.224408,3.313455,0.019392,0.125749,0.492450,1.000530,6.282775
0.020000,0.227128,3.313454,0.022112,0.135998,0.512441,0.999532,6.282721
0.020000,0.230061,3.313453,0.025045,0.146646,0.532411,0.998486,6.282664
0.020000,0.233215,3.313451,0.028198,0.157693,0.552362,0.997548,6.282603
0.020000,0.236598,3.313449,0.031581,0.169139,0.572293,0.996537,6.282540
0.020000,0.240218,3.313446,0.035201,0.180983,0.592189,0.994807,6.282473
0.020000,0.244082,3.313444,0.039065,0.193224,0.612083,0.994730,6.282404
0.020000,0.248199,3.313440,0.043183,0.205863,0.631942,0.992937,6.282332
0.020000,0.252577,3.313436,0.047561,0.218898,0.651756,0.990683,6.282257
0.020000,0.257224,3.313432,0.052207,0.232330,0.671571,0.990776,6.282181
0.020000,0.262147,3.313427,0.057130,0.246156,0.691332,0.988033,6.282102
0.020000,0.267355,3.313421,0.062338,0.260378,0.711063,0.986573,6.282022
0.020000,0.272854,3.313414,0.067838,0.274993,0.730769,0.985271,6.281942
0.020000,0.278654,3.313407,0.073638,0.290002,0.750430,0.983066,6.281860
0.020000,0.284762,3.313398,0.079746,0.305403,0.770053,0.981171,6.281779
0.020000,0.291186,3.313389,0.086170,0.321195,0.789635,0.979083,6.281697
0.020000,0.297934,3.313379,0.092917,0.337379,0.809168,0.976627,6.281618
0.020000,0.305013,3.313367,0.099996,0.353952,0.828671,0.975141,6.281539
0.020000,0.312431,3.313355,0.107415,0.370914,0.848106,0.971776,6.281464
0.020000,0.320196,3.313341,0.115180,0.388264,0.867507,0.970066,6.281392
0.020000,0.328316,3.313326,0.123300,0.406001,0.886846,0.966912,6.281324
0.020000,0.336799,3.313310,0.131782,0.424124,0.906130,0.964238,6.281261
0.020000,0.345652,3.313293,0.140635,0.442631,0.925359,0.961458,6.281205
0.020000,0.354882,3.313275,0.149865,0.461522,0.944528,0.958427,6.281156
0.020000,0.364498,3.313255,0.159481,0.480794,0.963634,0.955322,6.281116
0.020000,0.374507,3.313234,0.169490,0.500448,0.982673,0.951932,6.281085
0.020000,0.384912,3.313212,0.179896,0.520281,0.991640,0.448341,6.281066
0.020000,0.395714,3.313189,0.190698,0.540092,0.990552,-0.054414,6.281060
0.020000,0.406912,3.313165,0.201895,0.559880,0.989421,-0.056521,6.281068
0.020000,0.418505,3.313141,0.213488,0.579645,0.988248,-0.058646,6.281092
