dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.205040,3.018459,0.000004,0.000400,0.020000,1.000000,0.000064
0.020000,0.205040,3.018459,0.000020,0.001200,0.040000,1.000000,0.000064
0.020000,0.205040,3.018459,0.000056,0.002400,0.060000,1.000000,0.000063
0.020000,0.205040,3.018459,0.000120,0.004000,0.080000,1.000000,0.000062
0.020000,0.205040,3.018459,0.000220,0.006000,0.100000,1.000000,0.000059
0.020000,0.205040,3.018459,0.000364,0.008400,0.120000,1.000000,0.000056
0.020000,0.205040,3.018459,0.000560,0.011200,0.140000,1.000000,0.000052
0.020000,0.205040,3.018459,0.000816,0.014400,0.160000,1.000000,0.000046
0.020000,0.205040,3.018459,0.001140,0.018000,0.180000,1.000000,0.000039
0.020000,0.205040,3.018459,0.001540,0.022000,0.200000,1.000000,0.000030
0.020000,0.205040,3.018459,0.002024,0.026400,0.220000,1.000000,0.000019
0.020000,0.205040,3.018459,0.002600,0.031200,0.240000,1.000000,0.000006
0.020000,0.205463,3.018459,0.003276,0.036400,0.260000,1.000000,6.283176
0.020000,0.206247,3.018459,0.004060,0.042000,0.280000,1.000000,6.283158
0.020000,0.207147,3.018459,0.004960,0.048000,0.300000,1.000000,6.283138
0.020000,0.208171,3.018459,0.005984,0.054400,0.320000,1.000000,6.283116
0.020000,0.209327,3.018459,0.007140,0.061200,0.340000,1.000000,6.283090
0.020000,0.210623,3.018459,0.008436,0.068400,0.360000,1.000000,6.283062
0.020000,0.212067,3.018459,0.009880,0.076000,0.380000,1.000000,6.283031
0.020000,0.213667,3.018459,0.011480,0.084000,0.400000,1.000000,6.282996
0.020000,0.215431,3.018458,0.013244,0.092400,0.420000,1.000000,6.282959
0.020000,0.217367,3.018458,0.015180,0.101200,0.440000,1.000000,6.282918
0.020000,0.219483,3.018457,0.017296,0.110400,0.460000,1.000000,6.282874
0.020000,0.221787,3.018456,0.019600,0.120000,0.480000,1.000000,6.282826
0.020000,0.224287,3.018455,0.022100,0.130000,0.500000,1.000000,6.282775
0.020000,0.226991,3.018454,0.024804,0.140400,0.520000,1.000000,6.282721
0.020000,0.229907,3.018453,0.027720,0.151200,0.540000,1.000000,6.282664
0.020000,0.233043,3.018451,0.030856,0.162400,0.560000,1.000000,6.282603
0.020000,0.236407,3.018449,0.034220,0.174000,0.580000,1.000000,6.282540
0.020000,0.240007,3.018447,0.037820,0.186000,0.600000,1.000000,6.282473
0.020000,0.243851,3.018444,0.041664,0.198400,0.620000,1.000000,6.282404
0.020000,0.247947,3.018440,0.045760,0.211200,0.640000,1.000000,6.282332
