dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.205059,2.723459,0.000004,0.000400,0.020000,1.000000,0.000064
0.020000,0.205059,2.723459,0.000004,0.000005,-0.019731,-1.986562,0.000064
0.020000,0.205058,2.723459,0.000004,0.000012,0.000336,1.003355,0.000063
0.020000,0.205058,2.723459,0.000005,0.000021,0.000470,0.006706,0.000062
0.020000,0.205057,2.723459,0.000005,0.000034,0.000604,0.006688,0.000059
0.020000,0.205056,2.723459,0.000006,0.000048,0.000737,0.006659,0.000056
0.020000,0.205055,2.723459,0.000008,0.000066,0.000869,0.006617,0.000052
0.020000,0.205053,2.723459,0.000009,0.000086,0.001000,0.006557,0.000046
0.020000,0.205051,2.723459,0.000012,0.000108,0.001130,0.006478,0.000039
0.020000,0.205048,2.723459,0.000014,0.000133,0.001258,0.006377,0.000030
0.020000,0.205045,2.723459,0.000018,0.000161,0.001383,0.006250,0.000019
0.020000,0.205041,2.723459,0.000021,0.000191,0.001504,0.006095,0.000006
0.020000,0.205461,2.723459,0.000441,0.020967,1.038796,51.864560,6.283176
0.020000,0.206239,2.723459,0.001219,0.038942,0.898723,-7.003618,6.283158
0.020000,0.207134,2.723459,0.002114,0.044705,0.288160,-30.528168,6.283138
0.020000,0.208151,2.723459,0.003131,0.050866,0.308054,0.994690,6.283116
0.020000,0.209299,2.723459,0.004279,0.057425,0.327948,0.994728,6.283090
0.020000,0.210587,2.723459,0.005567,0.064382,0.347878,0.996505,6.283062
0.020000,0.212022,2.723459,0.007002,0.071738,0.367776,0.994868,6.283031
0.020000,0.213612,2.723459,0.008592,0.079492,0.387730,0.997704,6.282996
0.020000,0.215365,2.723458,0.010345,0.087645,0.407646,0.995791,6.282959
0.020000,0.217289,2.723458,0.012269,0.096198,0.427616,0.998524,6.282918
0.020000,0.219392,2.723457,0.014372,0.105149,0.447579,0.998146,6.282874
0.020000,0.221682,2.723456,0.016662,0.114500,0.467548,0.998469,6.282826
0.020000,0.224167,2.723455,0.019147,0.124251,0.487548,0.999995,6.282775
0.020000,0.226855,2.723454,0.021835,0.134402,0.507562,1.000678,6.282721
0.020000,0.229754,2.723453,0.024734,0.144954,0.527591,1.001452,6.282664
0.020000,0.232872,2.723451,0.027852,0.155907,0.547640,1.002477,6.282603
0.020000,0.236217,2.723449,0.031197,0.167261,0.567712,1.003580,6.282540
0.020000,0.239797,2.723447,0.034777,0.179017,0.587795,1.004127,6.282473
0.020000,0.243621,2.723444,0.038601,0.191176,0.607924,1.006468,6.282404
0.020000,0.247696,2.723440,0.042676,0.203737,0.628070,1.007279,6.282332
0.020000,0.252030,2.723437,0.047010,0.216702,0.648226,1.007806,6.282257
0.020000,0.256631,2.723432,0.051611,0.230070,0.668442,1.010833,6.282181
0.020000,0.261508,2.723427,0.056488,0.243844,0.688667,1.011235,6.282102
0.020000,0.266668,2.723421,0.061648,0.258022,0.708929,1.013095,6.282022
0.020000,0.272121,2.723415,0.067101,0.272607,0.729235,1.015306,6.281942
0.020000,0.277872,2.723407,0.072853,0.287599,0.749571,1.016822,6.281860
0.020000,0.283932,2.723399,0.078912,0.302997,0.769948,1.018849,6.281779
0.020000,0.290309,2.723390,0.085289,0.318805,0.790366,1.020896,6.281697
0.020000,0.297009,2.723380,0.091989,0.335021,0.810822,1.022794,6.281618
0.020000,0.304042,2.723368,0.099022,0.351648,0.831340,1.025877,6.281539
0.020000,0.311416,2.723356,0.106396,0.368686,0.851886,1.027322,6.281464
0.020000,0.319138,2.723342,0.114118,0.386136,0.872499,1.030644,6.281392
0.020000,0.327218,2.723327,0.122198,0.403999,0.893155,1.032770,6.281324
0.020000,0.335664,2.723311,0.130644,0.422276,0.913867,1.035619,6.281261
0.020000,0.344483,2.723294,0.139463,0.440969,0.934639,1.038614,6.281205
0.020000,0.353685,2.723276,0.148665,0.460078,0.955472,1.041617,6.281156
0.020000,0.363277,2.723256,0.158257,0.479606,0.976368,1.044809,6.281116
0.020000,0.373268,2.723235,0.168248,0.499552,0.997327,1.047988,6.281085
0.020000,0.383662,2.723213,0.178642,0.519719,1.008359,0.551600,6.281066
0.020000,0.394460,2.723190,0.189441,0.539908,1.009448,0.054446,6.281060
0.020000,0.405663,2.723167,0.200643,0.560120,1.010579,0.056541,6.281068
0.020000,0.417270,2.723142,0.212250,0.580355,1.011752,0.058623,6.281092
0.020000,0.429282,2.723117,0.224262,0.600614,1.012966,0.060721,6.281134
0.020000,0.441700,2.723092,0.236680,0.620899,1.014224,0.062893,6.281195
0.020000,0.454524,2.723067,0.249505,0.641209,1.015524,0.065004,6.281277
0.020000,0.467755,2.723043,0.262735,0.661547,1.016864,0.067006,6.281382
0.020000,0.481393,2.723019,0.276374,0.681912,1.018248,0.069177,6.281511
0.020000,0.495439,2.722996,0.290420,0.702305,1.019679,0.071560,6.281668
0.020000,0.509894,2.722976,0.304874,0.722728,1.021146,0.073376,6.281853
0.020000,0.524758,2.722958,0.319738,0.743181,1.022665,0.075909,6.282068
0.020000,0.540031,2.722942,0.335011,0.763666,1.024217,0.077611,6.282317
0.020000,0.555714,2.722931,0.350695,0.784182,1.025810,0.079643,6.282600
0.020000,0.571809,2.722924,0.366790,0.804731,1.027474,0.083201,6.282921
0.020000,0.588315,2.722923,0.383296,0.825314,1.029144,0.083505,0.000096
0.020000,0.605234,2.722928,0.400214,0.845932,1.030882,0.086885,0.000498
0.020000,0.622566,2.722940,0.417546,0.866585,1.032662,0.089017,0.000945
0.020000,0.640311,2.722961,0.435292,0.887275,1.034484,0.091087,0.001438
0.020000,0.658471,2.722992,0.453452,0.908002,1.036346,0.093098,0.001980
0.020000,0.677046,2.723034,0.472027,0.928767,1.038264,0.095944,0.002575
0.020000,0.696038,2.723089,0.491018,0.949571,1.040224,0.097962,0.003224
0.020000,0.715446,2.723159,0.510427,0.970416,1.042233,0.100479,0.003930
0.020000,0.735272,2.723244,0.530253,0.991302,1.044277,0.102212,0.004696
0.020000,0.755516,2.723348,0.550497,1.012229,1.046383,0.105277,0.005525
0.020000,0.776176,2.723471,0.571157,1.032997,1.038398,-0.399262,0.006420
0.020000,0.797243,2.723616,0.592225,1.053403,1.020284,-0.905681,0.007383
0.020000,0.818712,2.723786,0.613694,1.073447,1.002189,-0.904774,0.008417
0.020000,0.840573,2.723982,0.635557,1.093127,0.984030,-0.907914,0.009523
0.020000,0.862821,2.724207,0.657806,1.112446,0.965909,-0.906087,0.010706
0.020000,0.885448,2.724463,0.680434,1.131400,0.947717,-0.909589,0.011967
0.020000,0.908446,2.724754,0.703434,1.149991,0.929537,-0.908991,0.013309
0.020000,0.931808,2.725081,0.726798,1.168217,0.911328,-0.910463,0.014734
0.020000,0.955526,2.725448,0.750520,1.186079,0.893086,-0.912087,0.016244
0.020000,0.979594,2.725858,0.774591,1.203575,0.874809,-0.913853,0.017843
0.020000,1.004004,2.726314,0.799005,1.220706,0.856532,-0.913835,0.019531
0.020000,1.028748,2.726820,0.823755,1.237469,0.838188,-0.917219,0.021312
0.020000,1.053820,2.727377,0.848832,1.253866,0.819826,-0.918094,0.023188
0.020000,1.079210,2.727991,0.874230,1.269894,0.801402,-0.921212,0.025160
0.020000,1.104912,2.728665,0.899941,1.285554,0.782985,-0.920832,0.027232
0.020000,1.130919,2.729401,0.925958,1.300844,0.764491,-0.924692,0.029404
0.020000,1.157222,2.730204,0.952273,1.315762,0.745945,-0.927324,0.031680
0.020000,1.183814,2.731079,0.978879,1.330310,0.727362,-0.929159,0.034060
0.020000,1.210686,2.732028,1.005769,1.344485,0.708759,-0.930125,0.036547
0.020000,1.237833,2.733055,1.032935,1.358286,0.690046,-0.935668,0.039143
0.020000,1.265245,2.734166,1.060369,1.371712,0.671285,-0.938017,0.041849
0.020000,1.292914,2.735363,1.088064,1.384762,0.652528,-0.937871,0.044667
0.020000,1.320833,2.736652,1.116013,1.397434,0.633620,-0.945421,0.047598
0.020000,1.348993,2.738036,1.144207,1.409729,0.614734,-0.944258,0.050644
0.020000,1.377388,2.739520,1.172640,1.421643,0.595690,-0.952214,0.053806
0.020000,1.406007,2.741108,1.201304,1.433176,0.576642,-0.952433,0.057086
0.020000,1.434844,2.742805,1.230190,1.444326,0.557519,-0.956106,0.060484
0.020000,1.463889,2.744615,1.259292,1.455092,0.538268,-0.962560,0.064002
0.020000,1.493135,2.746543,1.288601,1.465471,0.518968,-0.965020,0.067641
0.020000,1.522573,2.748592,1.318111,1.475463,0.499580,-0.969385,0.071401
0.020000,1.552195,2.750768,1.347812,1.485065,0.480102,-0.973897,0.075284
0.020000,1.581991,2.753076,1.377697,1.494275,0.460531,-0.978555,0.079289
0.020000,1.611953,2.755518,1.407759,1.503093,0.440875,-0.982785,0.083417
0.020000,1.642073,2.758101,1.437990,1.511515,0.421117,-0.987932,0.087669
0.020000,1.672341,2.760828,1.468380,1.519540,0.401231,-0.994306,0.092045
0.020000,1.702749,2.763703,1.498924,1.527165,0.381256,-0.998753,0.096544
0.020000,1.733287,2.766732,1.529612,1.534389,0.361200,-1.002753,0.101167
0.020000,1.763946,2.769917,1.560436,1.541208,0.340982,-1.010943,0.105914
0.020000,1.794717,2.773264,1.591388,1.547622,0.320672,-1.015490,0.110783
0.020000,1.825590,2.776776,1.622461,1.553627,0.300252,-1.020975,0.115775
0.020000,1.856557,2.780458,1.653645,1.559220,0.279682,-1.028536,0.120888
0.020000,1.887606,2.784312,1.684933,1.564401,0.259014,-1.033386,0.126122
0.020000,1.918730,2.788342,1.716316,1.569165,0.238196,-1.040913,0.131476
0.020000,1.949917,2.792553,1.747787,1.573510,0.217257,-1.046956,0.136948
0.020000,1.981158,2.796947,1.779335,1.577433,0.196182,-1.053724,0.142537
0.020000,2.012443,2.801528,1.810954,1.580933,0.174972,-1.060497,0.148241
0.020000,2.043762,2.806298,1.842634,1.584005,0.153613,-1.067949,0.154058
0.020000,2.075105,2.811260,1.874367,1.586648,0.132149,-1.073189,0.159987
0.020000,2.106461,2.816417,1.906144,1.588858,0.110477,-1.083630,0.166025
0.020000,2.137820,2.821770,1.937957,1.590633,0.088748,-1.086418,0.172170
0.020000,2.169175,2.827323,1.969800,1.592181,0.077439,-0.565445,0.178420
0.020000,2.200526,2.833080,2.001675,1.593715,0.076657,-0.039110,0.184774
0.020000,2.231868,2.839042,2.033579,1.595232,0.075893,-0.038213,0.191230
0.020000,2.263201,2.845215,2.065514,1.596730,0.074897,-0.049791,0.197788
0.020000,2.294521,2.851600,2.097478,1.598211,0.074055,-0.042091,0.204447
0.020000,2.325826,2.858201,2.129472,1.599671,0.072969,-0.054297,0.211205
0.020000,2.357113,2.865021,2.161494,1.601109,0.071901,-0.053399,0.218060
0.020000,2.388380,2.872063,2.193544,1.602525,0.070789,-0.055607,0.225011
0.020000,2.419625,2.879330,2.225623,1.603914,0.069462,-0.066367,0.232056
0.020000,2.450843,2.886825,2.257728,1.605281,0.068345,-0.055867,0.239194
0.020000,2.482033,2.894550,2.289860,1.606616,0.066737,-0.080385,0.246422
0.020000,2.513191,2.902509,2.322019,1.607927,0.065577,-0.057994,0.253740
0.020000,2.544315,2.910703,2.354203,1.609204,0.063826,-0.087548,0.261144
0.020000,2.575401,2.919135,2.386412,1.610453,0.062490,-0.066827,0.268632
0.020000,2.606445,2.927807,2.418645,1.611666,0.060621,-0.093405,0.276203
0.020000,2.637446,2.936722,2.450902,1.612849,0.059149,-0.073613,0.283854
0.020000,2.668399,2.945882,2.483182,1.613991,0.057111,-0.101913,0.291583
0.020000,2.699301,2.955288,2.515484,1.615103,0.055583,-0.076392,0.299386
0.020000,2.730149,2.964943,2.547808,1.616168,0.053285,-0.114929,0.307263
0.020000,2.760939,2.974848,2.580152,1.617203,0.051732,-0.077604,0.315209
0.020000,2.791668,2.985004,2.612516,1.618189,0.049322,-0.120539,0.323222
0.020000,2.822332,2.995413,2.644898,1.619140,0.047504,-0.090864,0.331299
0.020000,2.852928,3.006077,2.677299,1.620046,0.045301,-0.110161,0.339438
0.020000,2.883452,3.016996,2.709717,1.620904,0.042907,-0.119719,0.347636
0.020000,2.913900,3.028171,2.742152,1.621723,0.040985,-0.096083,0.355888
0.020000,2.944270,3.039604,2.774602,1.622492,0.038436,-0.127477,0.364193
0.020000,2.974556,3.051294,2.807066,1.623214,0.036084,-0.117603,0.372547
0.020000,3.004756,3.063242,2.839544,1.623892,0.033932,-0.107585,0.380947
0.020000,3.034866,3.075449,2.872034,1.624522,0.031463,-0.123438,0.389389
0.020000,3.064882,3.087915,2.904536,1.625095,0.028639,-0.141181,0.397871
0.020000,3.094801,3.100640,2.937049,1.625626,0.026551,-0.104421,0.406388
0.020000,3.124620,3.113623,2.969571,1.626106,0.024036,-0.125767,0.414938
0.020000,3.154608,3.127192,3.002486,1.645763,0.982816,47.938997,0.436569
0.020000,3.188886,3.143761,3.040559,1.903644,12.894056,595.562012,0.463939
0.020000,3.222729,3.161280,3.078668,1.905434,0.089507,-640.227436,0.491431
0.020000,3.256087,3.179729,3.116787,1.905993,0.027945,-3.078091,0.518960
0.020000,3.288913,3.199082,3.154893,1.905284,-0.035421,-3.168333,0.546441
0.020000,3.321162,3.219306,3.192959,1.903297,-0.099373,-3.197572,0.573788
0.020000,3.352794,3.240365,3.230960,1.900043,-0.162706,-3.166656,0.600913
0.020000,3.383773,3.262218,3.268871,1.895557,-0.224282,-3.078785,0.627734
0.020000,3.414068,3.284820,3.306669,1.889896,-0.283067,-2.939266,0.654172
0.020000,3.443655,3.308125,3.344332,1.883132,-0.338169,-2.755127,0.680151
0.020000,3.472512,3.332084,3.381839,1.875355,-0.388862,-2.534631,0.705602
0.020000,3.500627,3.356647,3.419172,1.866664,-0.434579,-2.285859,0.730464
0.020000,3.527990,3.381764,3.456315,1.857165,-0.474933,-2.017700,0.754682
0.020000,3.554599,3.407386,3.493254,1.846961,-0.510177,-1.762179,0.778208
0.020000,3.580456,3.433463,3.529978,1.836171,-0.539497,-1.466030,0.801002
0.020000,3.605567,3.459950,3.566476,1.824904,-0.563383,-1.194265,0.823032
0.020000,3.629942,3.486802,3.602741,1.813258,-0.582310,-0.946358,0.844272
0.020000,3.653596,3.513976,3.638768,1.801336,-0.596096,-0.689318,0.864704
0.020000,3.676545,3.541432,3.674552,1.789230,-0.605305,-0.460455,0.884315
0.020000,3.698811,3.569134,3.710093,1.777018,-0.610562,-0.262835,0.903097
0.020000,3.720414,3.597046,3.745388,1.764773,-0.612251,-0.084435,0.921049
0.020000,3.741378,3.625137,3.780439,1.752556,-0.610840,0.070540,0.938173
0.020000,3.761727,3.653377,3.815248,1.740418,-0.606937,0.195155,0.954474
0.020000,3.781488,3.681740,3.849816,1.728406,-0.600601,0.316776,0.969961
0.020000,3.800687,3.710201,3.884147,1.716557,-0.592413,0.409409,0.984643
0.020000,3.819349,3.738739,3.918245,1.704898,-0.582953,0.473026,0.998536
0.020000,3.837502,3.767332,3.952114,1.693450,-0.572432,0.526004,1.011652
0.020000,3.855171,3.795964,3.985758,1.682227,-0.561160,0.563642,1.024007
0.020000,3.872382,3.824617,4.019183,1.671238,-0.549405,0.587739,1.035617
0.020000,3.889162,3.853275,4.052393,1.660485,-0.537652,0.587647,1.046498
0.020000,3.905534,3.881927,4.085392,1.649976,-0.525491,0.608048,1.056666
0.020000,3.921525,3.910558,4.118187,1.639706,-0.513494,0.599827,1.066138
0.020000,3.937157,3.939158,4.150780,1.629669,-0.501844,0.582535,1.074930
0.020000,3.952454,3.967717,4.183177,1.619857,-0.490594,0.562510,1.083056
0.020000,3.967438,3.996223,4.215382,1.610260,-0.479846,0.537387,1.090531
0.020000,3.982132,4.024670,4.247399,1.600857,-0.470153,0.484620,1.097369
0.020000,3.996557,4.053047,4.279232,1.591653,-0.460222,0.496545,1.103583
0.020000,4.010732,4.081348,4.310885,1.582627,-0.451301,0.446054,1.109185
0.020000,4.024679,4.109564,4.342360,1.573760,-0.443304,0.399890,1.114186
0.020000,4.038417,4.137689,4.373661,1.565034,-0.436321,0.349115,1.118595
0.020000,4.051964,4.165716,4.404790,1.556448,-0.429324,0.349844,1.122422
0.020000,4.065338,4.193638,4.435749,1.547974,-0.423659,0.283273,1.125674
0.020000,4.078557,4.221448,4.466541,1.539593,-0.419085,0.228702,1.128359
0.020000,4.091639,4.249139,4.497167,1.531300,-0.414640,0.222263,1.130481
0.020000,4.104600,4.276706,4.527629,1.523070,-0.411510,0.156490,1.132045
0.020000,4.117455,4.304141,4.557926,1.514886,-0.409205,0.115225,1.133054
0.020000,4.130222,4.331438,4.588061,1.506735,-0.407535,0.083511,1.133510
0.020000,4.142914,4.358589,4.618033,1.498597,-0.406896,0.031950,1.133415
0.020000,4.155548,4.385589,4.647842,1.490457,-0.407010,-0.005712,1.132768
0.020000,4.168137,4.412429,4.677488,1.482295,-0.408079,-0.053432,1.131568
0.020000,4.180697,4.439102,4.706970,1.474099,-0.409814,-0.086772,1.129812
0.020000,4.193239,4.465600,4.736287,1.465847,-0.412569,-0.137721,1.127496
0.020000,4.205779,4.491916,4.765437,1.457523,-0.416230,-0.183048,1.124617
0.020000,4.218330,4.518040,4.794420,1.449117,-0.420293,-0.203179,1.121167
0.020000,4.230903,4.543964,4.823232,1.440602,-0.425729,-0.271771,1.117140
0.020000,4.243512,4.569678,4.851871,1.431965,-0.431849,-0.306022,1.112527
0.020000,4.256170,4.595172,4.880335,1.423199,-0.438343,-0.324694,1.107321
0.020000,4.268887,4.620438,4.908621,1.414277,-0.446083,-0.386992,1.101509
