dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.850405,7.779582,0.000004,0.000400,0.020000,1.000000,5.740279
0.020000,6.850407,7.779581,0.000007,0.000141,-0.012955,-1.647773,5.740269
0.020000,6.850413,7.779577,0.000013,0.000317,0.008806,1.088082,5.740248
0.020000,6.850422,7.779572,0.000024,0.000564,0.012330,0.176193,5.740210
0.020000,6.850437,7.779563,0.000042,0.000881,0.015856,0.176300,5.740150
0.020000,6.850459,7.779549,0.000067,0.001268,0.019386,0.176475,5.740064
0.020000,6.850489,7.779532,0.000102,0.001727,0.022920,0.176735,5.739947
0.020000,6.850527,7.779508,0.000147,0.002256,0.026462,0.177097,5.739794
0.020000,6.850576,7.779479,0.000204,0.002856,0.030014,0.177579,5.739600
0.020000,6.850637,7.779442,0.000275,0.003528,0.033578,0.178198,5.739361
0.020000,6.850823,7.779330,0.000492,0.010872,0.367203,16.681265,5.739072
0.020000,6.851403,7.778979,0.001170,0.033900,1.151414,39.210528,5.738726
0.020000,6.852083,7.778566,0.001966,0.039775,0.293752,-42.883085,5.738321
0.020000,6.852872,7.778088,0.002888,0.046138,0.318116,1.218215,5.737851
0.020000,6.853778,7.777538,0.003948,0.052991,0.342677,1.228060,5.737309
0.020000,6.854808,7.776912,0.005154,0.060293,0.365068,1.119519,5.736692
0.020000,6.855972,7.776203,0.006516,0.068097,0.390209,1.257077,5.735994
0.020000,6.857276,7.775408,0.008044,0.076374,0.413853,1.182182,5.735210
0.020000,6.858729,7.774521,0.009746,0.085118,0.437209,1.167794,5.734334
0.020000,6.860338,7.773535,0.011633,0.094354,0.461788,1.228952,5.733360
0.020000,6.862112,7.772447,0.013715,0.104081,0.486345,1.227884,5.732284
0.020000,6.864059,7.771249,0.016001,0.114298,0.510866,1.226036,5.731097
0.020000,6.866187,7.769936,0.018501,0.125005,0.535334,1.223375,5.729796
0.020000,6.868504,7.768503,0.021225,0.136199,0.559731,1.219872,5.728372
0.020000,6.871016,7.766943,0.024182,0.147880,0.584041,1.215501,5.726821
0.020000,6.873734,7.765250,0.027384,0.160076,0.609778,1.286861,5.725134
0.020000,6.876663,7.763418,0.030839,0.172775,0.634964,1.259297,5.723306
0.020000,6.879813,7.761439,0.034559,0.185986,0.660567,1.280155,5.721327
0.020000,6.883191,7.759308,0.038553,0.199698,0.685586,1.250931,5.719192
0.020000,6.886804,7.757016,0.042832,0.213940,0.712087,1.325051,5.716891
0.020000,6.890661,7.754557,0.047406,0.228710,0.738517,1.321478,5.714415
0.020000,6.894770,7.751923,0.052286,0.244007,0.764853,1.316830,5.711757
0.020000,6.899137,7.749107,0.057483,0.259829,0.791075,1.311109,5.708907
0.020000,6.903771,7.746098,0.063007,0.276239,0.820534,1.472946,5.705855
0.020000,6.908678,7.742890,0.068871,0.293157,0.845892,1.267877,5.702589
0.020000,6.913867,7.739473,0.075084,0.310662,0.875227,1.466762,5.699100
0.020000,6.919346,7.735837,0.081659,0.328752,0.904501,1.463694,5.695374
0.020000,6.925120,7.731973,0.088607,0.347426,0.933691,1.459491,5.691400
0.020000,6.931198,7.727869,0.095941,0.366681,0.962775,1.454214,5.687164
0.020000,6.937586,7.723514,0.103672,0.386553,0.993620,1.542230,5.682652
0.020000,6.944292,7.718898,0.111813,0.407048,1.024713,1.554647,5.677848
0.020000,6.951322,7.714007,0.120377,0.428202,1.057727,1.650695,5.672736
0.020000,6.958682,7.708828,0.129377,0.450016,1.090702,1.648786,5.667298
0.020000,6.966380,7.703346,0.138827,0.472489,1.123623,1.646030,5.661516
