dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.698000,7.527000,0.000004,0.000400,0.020000,1.000000,5.740279
0.020000,6.698000,7.527000,0.000020,0.001200,0.040000,1.000000,5.740269
0.020000,6.698000,7.527000,0.000056,0.002400,0.060000,1.000000,5.740248
0.020000,6.698000,7.527000,0.000120,0.004000,0.080000,1.000000,5.740210
0.020000,6.698000,7.527000,0.000220,0.006000,0.100000,1.000000,5.740150
0.020000,6.698000,7.527000,0.000364,0.008400,0.120000,1.000000,5.740064
0.020000,6.698000,7.527000,0.000560,0.011200,0.140000,1.000000,5.739947
0.020000,6.698000,7.527000,0.000816,0.014400,0.160000,1.000000,5.739794
0.020000,6.698000,7.527000,0.001140,0.018000,0.180000,1.000000,5.739600
0.020000,6.698000,7.527000,0.001540,0.022000,0.200000,1.000000,5.739361
0.020000,6.698113,7.526932,0.002024,0.026400,0.220000,1.000000,5.739072
0.020000,6.698606,7.526633,0.002600,0.031200,0.240000,1.000000,5.738726
0.020000,6.699184,7.526283,0.003276,0.036400,0.260000,1.000000,5.738321
0.020000,6.699854,7.525877,0.004060,0.042000,0.280000,1.000000,5.737851
0.020000,6.700624,7.525410,0.004960,0.048000,0.300000,1.000000,5.737309
0.020000,6.701499,7.524878,0.005984,0.054400,0.320000,1.000000,5.736692
0.020000,6.702486,7.524277,0.007140,0.061200,0.340000,1.000000,5.735994
0.020000,6.703593,7.523602,0.008436,0.068400,0.360000,1.000000,5.735210
0.020000,6.704825,7.522849,0.009880,0.076000,0.380000,1.000000,5.734334
0.020000,6.706189,7.522014,0.011480,0.084000,0.400000,1.000000,5.733360
0.020000,6.707693,7.521091,0.013244,0.092400,0.420000,1.000000,5.732284
0.020000,6.709342,7.520077,0.015180,0.101200,0.440000,1.000000,5.731097
0.020000,6.711143,7.518966,0.017296,0.110400,0.460000,1.000000,5.729796
0.020000,6.713102,7.517753,0.019600,0.120000,0.480000,1.000000,5.728372
0.020000,6.715226,7.516435,0.022100,0.130000,0.500000,1.000000,5.726821
0.020000,6.717521,7.515005,0.024804,0.140400,0.520000,1.000000,5.725134
0.020000,6.719993,7.513458,0.027720,0.151200,0.540000,1.000000,5.723306
0.020000,6.722649,7.511790,0.030856,0.162400,0.560000,1.000000,5.721327
0.020000,6.725494,7.509995,0.034220,0.174000,0.580000,1.000000,5.719192
0.020000,6.728534,7.508067,0.037820,0.186000,0.600000,1.000000,5.716891
0.020000,6.731775,7.506001,0.041664,0.198400,0.620000,1.000000,5.714415
0.020000,6.735224,7.503790,0.045760,0.211200,0.640000,1.000000,5.711757
0.020000,6.738884,7.501429,0.050116,0.224400,0.660000,1.000000,5.708907
0.020000,6.742763,7.498911,0.054740,0.238000,0.680000,1.000000,5.705855
0.020000,6.746864,7.496230,0.059640,0.252000,0.700000,1.000000,5.702589
0.020000,6.751193,7.493379,0.064824,0.266400,0.720000,1.000000,5.699100
0.020000,6.755756,7.490351,0.070300,0.281200,0.740000,1.000000,5.695374
0.020000,6.760556,7.487138,0.076076,0.296400,0.760000,1.000000,5.691400
0.020000,6.765599,7.483734,0.082160,0.312000,0.780000,1.000000,5.687164
0.020000,6.770887,7.480129,0.088560,0.328000,0.800000,1.000000,5.682652
0.020000,6.776425,7.476317,0.095284,0.344400,0.820000,1.000000,5.677848
0.020000,6.782217,7.472287,0.102340,0.361200,0.840000,1.000000,5.672736
0.020000,6.788266,7.468030,0.109736,0.378400,0.860000,1.000000,5.667298
0.020000,6.794574,7.463539,0.117480,0.396000,0.880000,1.000000,5.661516
0.020000,6.801144,7.458801,0.125580,0.414000,0.900000,1.000000,5.655369
0.020000,6.807978,7.453807,0.134044,0.432400,0.920000,1.000000,5.648835
0.020000,6.815077,7.448546,0.142880,0.451200,0.940000,1.000000,5.641891
0.020000,6.822441,7.443006,0.152096,0.470400,0.960000,1.000000,5.634511
0.020000,6.830072,7.437174,0.161700,0.490000,0.980000,1.000000,5.626668
0.020000,6.837968,7.431037,0.171700,0.510000,1.000000,1.000000,5.618333
0.020000,6.846124,7.424585,0.182100,0.530000,1.000000,0.000000,5.609477
0.020000,6.854533,7.417808,0.192900,0.550000,1.000000,-0.000000,5.600073
0.020000,6.863184,7.410695,0.204100,0.570000,1.000000,0.000000,5.590091
0.020000,6.872069,7.403236,0.215700,0.590000,1.000000,-0.000000,5.579500
0.020000,6.881175,7.395421,0.227700,0.610000,1.000000,-0.000000,5.568266
0.020000,6.890490,7.387237,0.240100,0.630000,1.000000,0.000000,5.556353
0.020000,6.900002,7.378671,0.252900,0.650000,1.000000,-0.000000,5.543722
0.020000,6.909695,7.369711,0.266100,0.670000,1.000000,-0.000000,5.530330
0.020000,6.919553,7.360343,0.279700,0.690000,1.000000,0.000000,5.516135
0.020000,6.929559,7.350551,0.293700,0.710000,1.000000,-0.000000,5.501089
0.020000,6.939694,7.340322,0.308100,0.730000,1.000000,-0.000000,5.485142
0.020000,6.949937,7.329639,0.322900,0.750000,1.000000,0.000000,5.468243
0.020000,6.960264,7.318486,0.338100,0.770000,1.000000,0.000000,5.450337
0.020000,6.970649,7.306846,0.353700,0.790000,1.000000,-0.000000,5.431367
0.020000,6.981066,7.294702,0.369700,0.810000,1.000000,0.000000,5.411277
0.020000,6.991484,7.282036,0.386100,0.830000,1.000000,-0.000000,5.390008
0.020000,7.001869,7.268831,0.402900,0.850000,1.000000,-0.000000,5.367503
0.020000,7.012186,7.255069,0.420100,0.870000,1.000000,0.000000,5.343704
0.020000,7.022394,7.240733,0.437700,0.890000,1.000000,0.000000,5.318560
0.020000,7.032453,7.225806,0.455700,0.910000,1.000000,-0.000000,5.292023
