dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.545595,7.274418,0.000004,0.000400,0.020000,1.000000,5.740279
0.020000,6.545593,7.274419,0.000007,0.000141,-0.012955,-1.647773,5.740269
0.020000,6.545587,7.274423,0.000013,0.000317,0.008806,1.088082,5.740248
0.020000,6.545578,7.274428,0.000024,0.000564,0.012330,0.176193,5.740210
0.020000,6.545563,7.274437,0.000042,0.000881,0.015856,0.176300,5.740150
0.020000,6.545541,7.274451,0.000067,0.001268,0.019386,0.176475,5.740064
0.020000,6.545511,7.274468,0.000102,0.001727,0.022920,0.176735,5.739947
0.020000,6.545473,7.274492,0.000147,0.002256,0.026462,0.177097,5.739794
0.020000,6.545424,7.274521,0.000204,0.002856,0.030014,0.177579,5.739600
0.020000,6.545363,7.274558,0.000275,0.003528,0.033578,0.178198,5.739361
0.020000,6.545403,7.274534,0.000321,0.002328,-0.059981,-4.677948,5.739072
0.020000,6.545809,7.274288,0.000796,0.023721,1.069641,56.481095,5.738726
0.020000,6.546285,7.274000,0.001352,0.027820,0.204939,-43.235069,5.738321
0.020000,6.546837,7.273665,0.001997,0.032253,0.221675,0.836782,5.737851
0.020000,6.547470,7.273281,0.002738,0.037023,0.238462,0.839345,5.737309
0.020000,6.548189,7.272844,0.003580,0.042095,0.253633,0.758563,5.736692
0.020000,6.549001,7.272350,0.004530,0.047508,0.270612,0.848950,5.735994
0.020000,6.549910,7.271795,0.005594,0.053236,0.286415,0.790132,5.735210
0.020000,6.550921,7.271177,0.006780,0.059273,0.301871,0.772792,5.734334
0.020000,6.552041,7.270492,0.008093,0.065634,0.318013,0.807119,5.733360
0.020000,6.553273,7.269736,0.009539,0.072313,0.333953,0.797007,5.732284
0.020000,6.554624,7.268904,0.011125,0.079306,0.349659,0.785271,5.731097
0.020000,6.556099,7.267995,0.012857,0.086608,0.365095,0.771820,5.729796
0.020000,6.557701,7.267004,0.014741,0.094212,0.380226,0.756560,5.728372
0.020000,6.559436,7.265926,0.016784,0.102112,0.395014,0.739397,5.726821
0.020000,6.561309,7.264760,0.018990,0.110322,0.410474,0.772993,5.725134
0.020000,6.563323,7.263499,0.021367,0.118826,0.425206,0.736592,5.723306
0.020000,6.565485,7.262142,0.023919,0.127623,0.439844,0.731910,5.721327
0.020000,6.567797,7.260683,0.026653,0.136696,0.453665,0.691035,5.719192
0.020000,6.570264,7.259118,0.029574,0.146057,0.468044,0.718970,5.716891
0.020000,6.572890,7.257444,0.032688,0.155695,0.481871,0.691333,5.714415
0.020000,6.575678,7.255657,0.036000,0.165596,0.495086,0.660750,5.711757
0.020000,6.578632,7.253752,0.039515,0.175749,0.507628,0.627091,5.708907
0.020000,6.581755,7.251724,0.043239,0.186183,0.521701,0.703665,5.705855
0.020000,6.585050,7.249570,0.047175,0.196829,0.532291,0.529501,5.702589
0.020000,6.588520,7.247285,0.051330,0.207724,0.544783,0.624585,5.699100
0.020000,6.592167,7.244865,0.055707,0.218852,0.556372,0.579482,5.695374
0.020000,6.595993,7.242304,0.060310,0.230191,0.566973,0.530054,5.691400
0.020000,6.599999,7.239599,0.065145,0.241721,0.576496,0.476134,5.687164
0.020000,6.604188,7.236744,0.070214,0.253443,0.586080,0.479204,5.682652
0.020000,6.608559,7.233735,0.075520,0.265335,0.594622,0.427073,5.677848
0.020000,6.613113,7.230566,0.081068,0.277397,0.603099,0.423857,5.672736
0.020000,6.617850,7.227233,0.086860,0.289599,0.610110,0.350547,5.667298
0.020000,6.622768,7.223731,0.092899,0.301910,0.615530,0.271036,5.661516
0.020000,6.627867,7.220054,0.099185,0.314329,0.620974,0.272191,5.655369
0.020000,6.633145,7.216197,0.105722,0.326822,0.624649,0.183749,5.648835
0.020000,6.638598,7.212156,0.112509,0.339374,0.627577,0.146407,5.641891
0.020000,6.644223,7.207924,0.119548,0.351941,0.628338,0.038012,5.634511
0.020000,6.650015,7.203497,0.126838,0.364525,0.629233,0.044791,5.626668
0.020000,6.655970,7.198870,0.134379,0.377055,0.626484,-0.137480,5.618333
0.020000,6.662077,7.194039,0.142167,0.389366,0.615574,-0.545502,5.609477
0.020000,6.668326,7.189002,0.150193,0.401289,0.596123,-0.972538,5.600073
0.020000,6.674703,7.183760,0.158448,0.412765,0.573790,-1.116643,5.590091
0.020000,6.681194,7.178310,0.166924,0.423785,0.551009,-1.139056,5.579500
0.020000,6.687786,7.172653,0.175609,0.434293,0.525405,-1.280203,5.568266
0.020000,6.694461,7.166788,0.184495,0.444283,0.499485,-1.296018,5.556353
0.020000,6.701203,7.160716,0.193569,0.453681,0.469914,-1.478520,5.543722
