dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.877472,4.917202,0.000004,0.000400,0.020000,1.000000,1.569120
0.020000,6.877472,4.917199,0.000006,0.000125,-0.013758,-1.687898,1.569129
0.020000,6.877472,4.917194,0.000012,0.000281,0.007803,1.078042,1.569148
0.020000,6.877472,4.917184,0.000022,0.000499,0.010925,0.156104,1.569182
0.020000,6.877472,4.917168,0.000038,0.000780,0.014048,0.156174,1.569235
0.020000,6.877472,4.917146,0.000060,0.001124,0.017174,0.156290,1.569311
0.020000,6.877472,4.917115,0.000091,0.001530,0.020303,0.156462,1.569414
0.020000,6.877472,4.917075,0.000131,0.001999,0.023438,0.156702,1.569550
0.020000,6.877472,4.917024,0.000181,0.002530,0.026578,0.157020,1.569721
0.020000,6.877472,4.916962,0.000244,0.003125,0.029726,0.157429,1.569933
0.020000,6.877472,4.916886,0.000320,0.003782,0.032885,0.157939,1.570190
0.020000,6.877472,4.916796,0.000410,0.004504,0.036057,0.158562,1.570495
0.020000,6.877472,4.916798,0.000412,0.000115,-0.219408,-12.773212,1.570854
0.020000,6.877472,4.917460,0.001074,0.033084,1.648418,93.391279,1.571270
0.020000,6.877471,4.918219,0.001833,0.037949,0.243257,-70.258045,1.571749
0.020000,6.877470,4.919082,0.002695,0.043139,0.259483,0.811295,1.572294
0.020000,6.877469,4.920056,0.003670,0.048719,0.279041,0.977908,1.572910
0.020000,6.877466,4.921148,0.004762,0.054591,0.293560,0.725947,1.573603
0.020000,6.877462,4.922364,0.005977,0.060780,0.309472,0.795603,1.574376
0.020000,6.877457,4.923711,0.007324,0.067351,0.328530,0.952921,1.575235
0.020000,6.877449,4.925194,0.008808,0.074188,0.341881,0.667533,1.576184
0.020000,6.877440,4.926822,0.010436,0.081390,0.360073,0.909614,1.577229
0.020000,6.877427,4.928600,0.012214,0.088916,0.376326,0.812613,1.578374
0.020000,6.877411,4.930535,0.014149,0.096728,0.390598,0.713609,1.579626
0.020000,6.877391,4.932632,0.016246,0.104873,0.407229,0.831580,1.580989
0.020000,6.877367,4.934900,0.018514,0.113377,0.425234,0.900219,1.582469
0.020000,6.877336,4.937343,0.020957,0.122156,0.438905,0.683568,1.584073
0.020000,6.877299,4.939967,0.023582,0.131244,0.454438,0.776640,1.585805
0.020000,6.877254,4.942780,0.026394,0.140640,0.469769,0.766576,1.587673
0.020000,6.877200,4.945786,0.029401,0.150350,0.485507,0.786893,1.589683
0.020000,6.877136,4.948993,0.032609,0.160380,0.501502,0.799746,1.591842
0.020000,6.877061,4.952406,0.036022,0.170664,0.514183,0.634013,1.594156
0.020000,6.876971,4.956029,0.039647,0.181229,0.528249,0.703323,1.596634
0.020000,6.876867,4.959871,0.043490,0.192156,0.546373,0.906222,1.599283
0.020000,6.876746,4.963934,0.047555,0.203273,0.555834,0.473044,1.602111
0.020000,6.876605,4.968226,0.051850,0.214717,0.572216,0.819064,1.605126
0.020000,6.876442,4.972752,0.056378,0.226430,0.585668,0.672604,1.608339
0.020000,6.876255,4.977516,0.061146,0.238379,0.597442,0.588737,1.611757
0.020000,6.876041,4.982523,0.066158,0.250588,0.610456,0.650662,1.615392
0.020000,6.875796,4.987778,0.071419,0.263041,0.622610,0.607696,1.619253
0.020000,6.875518,4.993286,0.076933,0.275717,0.633835,0.561291,1.623352
0.020000,6.875202,4.999051,0.082706,0.288682,0.648263,0.721365,1.627701
0.020000,6.874845,5.005076,0.088742,0.301782,0.654972,0.335470,1.632311
0.020000,6.874442,5.011366,0.095045,0.315148,0.668319,0.667342,1.637197
0.020000,6.873989,5.017923,0.101618,0.328660,0.675596,0.363865,1.642372
0.020000,6.873480,5.024752,0.108466,0.342376,0.685787,0.509517,1.647851
0.020000,6.872911,5.031855,0.115591,0.356268,0.694596,0.440478,1.653650
0.020000,6.872276,5.039233,0.122997,0.370307,0.701932,0.366775,1.659786
0.020000,6.871568,5.046890,0.130687,0.384461,0.707702,0.288538,1.666276
0.020000,6.870780,5.054826,0.138662,0.398759,0.714927,0.361226,1.673140
0.020000,6.869907,5.063039,0.146921,0.412970,0.710564,-0.218122,1.680394
0.020000,6.868940,5.071524,0.155461,0.427003,0.701653,-0.445569,1.688056
0.020000,6.867874,5.080275,0.164276,0.440746,0.687123,-0.726494,1.696141
0.020000,6.866700,5.089283,0.173361,0.454240,0.674726,-0.619867,1.704666
0.020000,6.865410,5.098544,0.182711,0.467489,0.662410,-0.615794,1.713652
0.020000,6.863998,5.108047,0.192318,0.480385,0.644795,-0.880773,1.723115
0.020000,6.862453,5.117786,0.202179,0.493051,0.633341,-0.572696,1.733079
0.020000,6.860768,5.127752,0.212287,0.505356,0.615223,-0.905895,1.743563
0.020000,6.858934,5.137935,0.222633,0.517328,0.598599,-0.831190,1.754591
0.020000,6.856940,5.148325,0.233213,0.528985,0.582858,-0.787067,1.766185
0.020000,6.854778,5.158911,0.244018,0.540252,0.563369,-0.974417,1.778371
0.020000,6.852437,5.169684,0.255041,0.551178,0.546269,-0.855034,1.791173
0.020000,6.849908,5.180629,0.266275,0.561706,0.526438,-0.991504,1.804616
0.020000,6.847181,5.191736,0.277713,0.571854,0.507384,-0.952698,1.818727
0.020000,6.844243,5.202992,0.289345,0.581633,0.488957,-0.921361,1.833531
