dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.172472,4.916707,0.000004,0.000400,0.020000,1.000000,1.569120
0.020000,7.172472,4.916707,0.000020,0.001200,0.040000,1.000000,1.569129
0.020000,7.172472,4.916707,0.000056,0.002400,0.060000,1.000000,1.569148
0.020000,7.172472,4.916707,0.000120,0.004000,0.080000,1.000000,1.569182
0.020000,7.172472,4.916707,0.000220,0.006000,0.100000,1.000000,1.569235
0.020000,7.172472,4.916707,0.000364,0.008400,0.120000,1.000000,1.569311
0.020000,7.172472,4.916707,0.000560,0.011200,0.140000,1.000000,1.569414
0.020000,7.172472,4.916707,0.000816,0.014400,0.160000,1.000000,1.569550
0.020000,7.172472,4.916707,0.001140,0.018000,0.180000,1.000000,1.569721
0.020000,7.172472,4.916707,0.001540,0.022000,0.200000,1.000000,1.569933
0.020000,7.172472,4.916707,0.002024,0.026400,0.220000,1.000000,1.570190
0.020000,7.172472,4.916707,0.002600,0.031200,0.240000,1.000000,1.570495
0.020000,7.172472,4.916815,0.003276,0.036400,0.260000,1.000000,1.570854
0.020000,7.172472,4.917600,0.004060,0.042000,0.280000,1.000000,1.571270
0.020000,7.172471,4.918500,0.004960,0.048000,0.300000,1.000000,1.571749
0.020000,7.172470,4.919524,0.005984,0.054400,0.320000,1.000000,1.572294
0.020000,7.172468,4.920680,0.007140,0.061200,0.340000,1.000000,1.572910
0.020000,7.172465,4.921976,0.008436,0.068400,0.360000,1.000000,1.573603
0.020000,7.172460,4.923420,0.009880,0.076000,0.380000,1.000000,1.574376
0.020000,7.172454,4.925020,0.011480,0.084000,0.400000,1.000000,1.575235
0.020000,7.172445,4.926784,0.013244,0.092400,0.420000,1.000000,1.576184
0.020000,7.172434,4.928720,0.015180,0.101200,0.440000,1.000000,1.577229
0.020000,7.172419,4.930836,0.017296,0.110400,0.460000,1.000000,1.578374
0.020000,7.172400,4.933140,0.019600,0.120000,0.480000,1.000000,1.579626
0.020000,7.172376,4.935639,0.022100,0.130000,0.500000,1.000000,1.580989
0.020000,7.172346,4.938343,0.024804,0.140400,0.520000,1.000000,1.582469
0.020000,7.172310,4.941259,0.027720,0.151200,0.540000,1.000000,1.584073
0.020000,7.172266,4.944395,0.030856,0.162400,0.560000,1.000000,1.585805
0.020000,7.172212,4.947758,0.034220,0.174000,0.580000,1.000000,1.587673
0.020000,7.172148,4.951357,0.037820,0.186000,0.600000,1.000000,1.589683
0.020000,7.172071,4.955201,0.041664,0.198400,0.620000,1.000000,1.591842
0.020000,7.171980,4.959296,0.045760,0.211200,0.640000,1.000000,1.594156
0.020000,7.171873,4.963650,0.050116,0.224400,0.660000,1.000000,1.596634
0.020000,7.171747,4.968273,0.054740,0.238000,0.680000,1.000000,1.599283
0.020000,7.171601,4.973171,0.059640,0.252000,0.700000,1.000000,1.602111
0.020000,7.171431,4.978352,0.064824,0.266400,0.720000,1.000000,1.605126
0.020000,7.171234,4.983825,0.070300,0.281200,0.740000,1.000000,1.608339
0.020000,7.171007,4.989596,0.076076,0.296400,0.760000,1.000000,1.611757
0.020000,7.170747,4.995675,0.082160,0.312000,0.780000,1.000000,1.615392
0.020000,7.170450,5.002068,0.088560,0.328000,0.800000,1.000000,1.619253
0.020000,7.170110,5.008782,0.095284,0.344400,0.820000,1.000000,1.623352
0.020000,7.169724,5.015828,0.102340,0.361200,0.840000,1.000000,1.627701
0.020000,7.169287,5.023211,0.109736,0.378400,0.860000,1.000000,1.632311
0.020000,7.168792,5.030940,0.117480,0.396000,0.880000,1.000000,1.637197
0.020000,7.168233,5.039020,0.125580,0.414000,0.900000,1.000000,1.642372
0.020000,7.167605,5.047461,0.134044,0.432400,0.920000,1.000000,1.647851
0.020000,7.166899,5.056269,0.142880,0.451200,0.940000,1.000000,1.653650
0.020000,7.166109,5.065451,0.152096,0.470400,0.960000,1.000000,1.659786
0.020000,7.165224,5.075014,0.161700,0.490000,0.980000,1.000000,1.666276
0.020000,7.164237,5.084965,0.171700,0.510000,1.000000,1.000000,1.673140
0.020000,7.163137,5.095306,0.182100,0.530000,1.000000,0.000000,1.680394
0.020000,7.161914,5.106037,0.192900,0.550000,1.000000,-0.000000,1.688056
0.020000,7.160559,5.117155,0.204100,0.570000,1.000000,0.000000,1.696141
0.020000,7.159060,5.128657,0.215700,0.590000,1.000000,-0.000000,1.704666
0.020000,7.157405,5.140543,0.227700,0.610000,1.000000,-0.000000,1.713652
0.020000,7.155582,5.152807,0.240100,0.630000,1.000000,0.000000,1.723115
0.020000,7.153577,5.165450,0.252900,0.650000,1.000000,-0.000000,1.733079
0.020000,7.151376,5.178465,0.266100,0.670000,1.000000,-0.000000,1.743563
0.020000,7.148965,5.191849,0.279700,0.690000,1.000000,0.000000,1.754591
0.020000,7.146327,5.205598,0.293700,0.710000,1.000000,-0.000000,1.766185
0.020000,7.143445,5.219707,0.308100,0.730000,1.000000,-0.000000,1.778371
