dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.097369,5.448988,0.000004,0.000400,0.020000,1.000000,6.282560
0.020000,0.097368,5.448988,0.000005,0.000036,-0.018183,-1.909143,6.282563
0.020000,0.097367,5.448988,0.000006,0.000082,0.002271,1.022707,6.282568
0.020000,0.097364,5.448988,0.000009,0.000145,0.003179,0.045406,6.282578
0.020000,0.097359,5.448988,0.000014,0.000227,0.004087,0.045377,6.282593
0.020000,0.097353,5.448988,0.000020,0.000327,0.004994,0.045328,6.282616
0.020000,0.097344,5.448988,0.000029,0.000445,0.005899,0.045256,6.282646
0.020000,0.097332,5.448988,0.000041,0.000581,0.006802,0.045156,6.282685
0.020000,0.097318,5.448988,0.000056,0.000735,0.007702,0.045023,6.282735
0.020000,0.097299,5.448988,0.000074,0.000907,0.008599,0.044852,6.282796
0.020000,0.097277,5.448988,0.000096,0.001097,0.009492,0.044638,6.282871
0.020000,0.097251,5.448988,0.000122,0.001304,0.010380,0.044378,6.282959
0.020000,0.097221,5.448988,0.000152,0.001530,0.011261,0.044065,6.283063
0.020000,0.097185,5.448988,0.000188,0.001772,0.012135,0.043696,6.283183
0.020000,0.098030,5.448988,0.001033,0.042239,2.023347,100.560614,0.000136
0.020000,0.099008,5.448989,0.002010,0.048890,0.332515,-84.541627,0.000292
0.020000,0.100112,5.448989,0.003114,0.055198,0.315401,-0.855663,0.000469
0.020000,0.101350,5.448990,0.004352,0.061888,0.334516,0.955723,0.000666
0.020000,0.102729,5.448991,0.005731,0.068957,0.353460,0.947207,0.000886
0.020000,0.104257,5.448992,0.007260,0.076418,0.373048,0.979396,0.001129
0.020000,0.105942,5.448994,0.008945,0.084258,0.391994,0.947326,0.001396
0.020000,0.107792,5.448997,0.010794,0.092485,0.411342,0.967361,0.001689
0.020000,0.109814,5.449001,0.012816,0.101097,0.430604,0.963147,0.002007
0.020000,0.112016,5.449006,0.015018,0.110095,0.449883,0.963940,0.002354
0.020000,0.114405,5.449012,0.017408,0.119477,0.469106,0.961145,0.002728
0.020000,0.116990,5.449019,0.019993,0.129251,0.488698,0.979614,0.003131
0.020000,0.119778,5.449029,0.022781,0.139405,0.507736,0.951874,0.003565
0.020000,0.122777,5.449040,0.025780,0.149951,0.527304,0.978402,0.004029
0.020000,0.125995,5.449054,0.028998,0.160888,0.546810,0.975297,0.004525
0.020000,0.129439,5.449070,0.032442,0.172213,0.566250,0.972026,0.005053
0.020000,0.133118,5.449090,0.036120,0.183928,0.585744,0.974683,0.005614
0.020000,0.137038,5.449113,0.040041,0.196033,0.605295,0.977544,0.006208
0.020000,0.141209,5.449140,0.044212,0.208532,0.624907,0.980614,0.006836
0.020000,0.145637,5.449172,0.048640,0.221423,0.644585,0.983897,0.007499
0.020000,0.150331,5.449209,0.053334,0.234710,0.664333,0.987396,0.008197
0.020000,0.155299,5.449252,0.058302,0.248393,0.684155,0.991113,0.008930
0.020000,0.160548,5.449300,0.063552,0.262468,0.703750,0.979754,0.009698
0.020000,0.166087,5.449356,0.069091,0.276944,0.723811,1.003006,0.010502
0.020000,0.171923,5.449420,0.074927,0.291821,0.743839,1.001418,0.011341
0.020000,0.178064,5.449492,0.081069,0.307094,0.763633,0.989708,0.012216
0.020000,0.184519,5.449574,0.087524,0.322772,0.783894,1.013065,0.013126
0.020000,0.191296,5.449666,0.094301,0.338854,0.804128,1.011693,0.014072
0.020000,0.198402,5.449770,0.101408,0.355337,0.824142,1.000669,0.015052
0.020000,0.205845,5.449886,0.108853,0.372228,0.844558,1.020797,0.016067
0.020000,0.213635,5.450015,0.116643,0.389529,0.865030,1.023628,0.017116
0.020000,0.221778,5.450159,0.124788,0.407239,0.885520,1.024490,0.018198
0.020000,0.230284,5.450318,0.133295,0.425362,0.906130,1.030506,0.019313
0.020000,0.239160,5.450495,0.142173,0.443893,0.926573,1.022125,0.020459
0.020000,0.248415,5.450690,0.151430,0.462845,0.947606,1.051682,0.021636
0.020000,0.258057,5.450904,0.161074,0.482217,0.968585,1.048917,0.022841
0.020000,0.268090,5.451140,0.171111,0.501807,0.979494,0.545449,0.024075
0.020000,0.278516,5.451397,0.181539,0.521441,0.981691,0.109897,0.025333
0.020000,0.289335,5.451678,0.192361,0.541107,0.983335,0.082187,0.026614
0.020000,0.300547,5.451984,0.203578,0.560809,0.985081,0.087278,0.027915
0.020000,0.312153,5.452316,0.215189,0.580553,0.987190,0.105476,0.029233
0.020000,0.324154,5.452675,0.227195,0.600336,0.989156,0.098306,0.030566
0.020000,0.336551,5.453062,0.239599,0.620160,0.991211,0.102725,0.031912
0.020000,0.349345,5.453479,0.252399,0.640026,0.993307,0.104782,0.033266
0.020000,0.362536,5.453927,0.265598,0.659932,0.995291,0.099223,0.034626
0.020000,0.376125,5.454407,0.279196,0.679888,0.997784,0.124667,0.035990
0.020000,0.390114,5.454921,0.293193,0.699886,0.999901,0.105841,0.037353
0.020000,0.404502,5.455468,0.307592,0.719932,1.002293,0.119590,0.038714
0.020000,0.419291,5.456051,0.322392,0.740022,1.004530,0.111851,0.040068
0.020000,0.434482,5.456670,0.337596,0.760165,1.007128,0.129882,0.041413
0.020000,0.450075,5.457327,0.353203,0.780356,1.009548,0.121019,0.042745
0.020000,0.466072,5.458022,0.369215,0.800597,1.012051,0.125152,0.044061
0.020000,0.482473,5.458756,0.385633,0.820890,1.014633,0.129100,0.045356
0.020000,0.499280,5.459529,0.402457,0.841235,1.017290,0.132852,0.046628
0.020000,0.516493,5.460343,0.419690,0.861636,1.020018,0.136399,0.047873
0.020000,0.534115,5.461198,0.437332,0.882090,1.022736,0.135892,0.049088
0.020000,0.552144,5.462095,0.455384,0.902599,1.025417,0.134030,0.050267
0.020000,0.570584,5.463033,0.473847,0.923168,1.028466,0.152453,0.051409
0.020000,0.589434,5.464014,0.492723,0.943792,1.031183,0.135873,0.052507
0.020000,0.608697,5.465036,0.512012,0.964476,1.034215,0.151581,0.053560
0.020000,0.628372,5.466101,0.531717,0.985221,1.037249,0.151716,0.054562
0.020000,0.648458,5.467208,0.551833,1.005829,1.030416,-0.341659,0.055509
0.020000,0.668948,5.468356,0.572356,1.026104,1.013737,-0.833954,0.056397
0.020000,0.689835,5.469544,0.593276,1.046045,0.997040,-0.834851,0.057221
0.020000,0.711113,5.470771,0.614589,1.065651,0.980317,-0.836155,0.057977
0.020000,0.732775,5.472036,0.636288,1.084922,0.963560,-0.837843,0.058660
0.020000,0.754813,5.473337,0.658365,1.103856,0.946659,-0.845026,0.059266
0.020000,0.777223,5.474673,0.680814,1.122454,0.929911,-0.837436,0.059792
0.020000,0.799996,5.476041,0.703628,1.140713,0.912967,-0.847159,0.060231
0.020000,0.823126,5.477440,0.726801,1.158635,0.896075,-0.844593,0.060582
0.020000,0.846607,5.478868,0.750325,1.176216,0.879050,-0.851289,0.060838
