dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.097185,5.153988,0.000004,0.000400,0.020000,1.000000,6.282560
0.020000,0.097185,5.153988,0.000020,0.001200,0.040000,1.000000,6.282563
0.020000,0.097185,5.153988,0.000056,0.002400,0.060000,1.000000,6.282568
0.020000,0.097185,5.153988,0.000120,0.004000,0.080000,1.000000,6.282578
0.020000,0.097185,5.153988,0.000220,0.006000,0.100000,1.000000,6.282593
0.020000,0.097185,5.153988,0.000364,0.008400,0.120000,1.000000,6.282616
0.020000,0.097185,5.153988,0.000560,0.011200,0.140000,1.000000,6.282646
0.020000,0.097185,5.153988,0.000816,0.014400,0.160000,1.000000,6.282685
0.020000,0.097185,5.153988,0.001140,0.018000,0.180000,1.000000,6.282735
0.020000,0.097185,5.153988,0.001540,0.022000,0.200000,1.000000,6.282796
0.020000,0.097185,5.153988,0.002024,0.026400,0.220000,1.000000,6.282871
0.020000,0.097185,5.153988,0.002600,0.031200,0.240000,1.000000,6.282959
0.020000,0.097185,5.153988,0.003276,0.036400,0.260000,1.000000,6.283063
0.020000,0.097185,5.153988,0.004060,0.042000,0.280000,1.000000,6.283183
0.020000,0.098070,5.153988,0.004960,0.048000,0.300000,1.000000,0.000136
0.020000,0.099094,5.153989,0.005984,0.054400,0.320000,1.000000,0.000292
0.020000,0.100250,5.153989,0.007140,0.061200,0.340000,1.000000,0.000469
0.020000,0.101546,5.153990,0.008436,0.068400,0.360000,1.000000,0.000666
0.020000,0.102990,5.153991,0.009880,0.076000,0.380000,1.000000,0.000886
0.020000,0.104590,5.153992,0.011480,0.084000,0.400000,1.000000,0.001129
0.020000,0.106354,5.153995,0.013244,0.092400,0.420000,1.000000,0.001396
0.020000,0.108290,5.153998,0.015180,0.101200,0.440000,1.000000,0.001689
0.020000,0.110406,5.154002,0.017296,0.110400,0.460000,1.000000,0.002007
0.020000,0.112710,5.154007,0.019600,0.120000,0.480000,1.000000,0.002354
0.020000,0.115210,5.154013,0.022100,0.130000,0.500000,1.000000,0.002728
0.020000,0.117914,5.154021,0.024804,0.140400,0.520000,1.000000,0.003131
0.020000,0.120830,5.154031,0.027720,0.151200,0.540000,1.000000,0.003565
0.020000,0.123966,5.154043,0.030856,0.162400,0.560000,1.000000,0.004029
0.020000,0.127330,5.154057,0.034220,0.174000,0.580000,1.000000,0.004525
0.020000,0.130930,5.154074,0.037820,0.186000,0.600000,1.000000,0.005053
