dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.097000,4.858988,0.000004,0.000400,0.020000,1.000000,6.282560
0.020000,0.097001,4.858988,0.000005,0.000036,-0.018183,-1.909143,6.282563
0.020000,0.097003,4.858988,0.000006,0.000082,0.002271,1.022707,6.282568
0.020000,0.097006,4.858988,0.000009,0.000145,0.003179,0.045406,6.282578
0.020000,0.097010,4.858988,0.000014,0.000227,0.004087,0.045377,6.282593
0.020000,0.097017,4.858988,0.000020,0.000327,0.004994,0.045328,6.282616
0.020000,0.097025,4.858988,0.000029,0.000445,0.005899,0.045256,6.282646
0.020000,0.097037,4.858988,0.000041,0.000581,0.006802,0.045156,6.282685
0.020000,0.097052,4.858988,0.000056,0.000735,0.007702,0.045023,6.282735
0.020000,0.097070,4.858988,0.000074,0.000907,0.008599,0.044852,6.282796
0.020000,0.097092,4.858988,0.000096,0.001097,0.009492,0.044638,6.282871
0.020000,0.097118,4.858988,0.000122,0.001304,0.010380,0.044378,6.282959
0.020000,0.097149,4.858988,0.000152,0.001530,0.011261,0.044065,6.283063
0.020000,0.097184,4.858988,0.000188,0.001772,0.012135,0.043696,6.283183
0.020000,0.098110,4.858988,0.001114,0.046304,2.226569,110.721688,0.000136
0.020000,0.099180,4.858989,0.002184,0.053508,0.360224,-93.317251,0.000292
0.020000,0.100388,4.858989,0.003392,0.060404,0.344799,-0.771248,0.000469
0.020000,0.101743,4.858990,0.004746,0.067715,0.365567,1.038400,0.000666
0.020000,0.103251,4.858991,0.006255,0.075438,0.386117,1.027540,0.000886
0.020000,0.104923,4.858993,0.007927,0.083585,0.407338,1.061029,0.001129
0.020000,0.106766,4.858995,0.009770,0.092141,0.427819,1.024032,0.001396
0.020000,0.108788,4.858998,0.011792,0.101115,0.448695,1.043834,0.001689
0.020000,0.110998,4.859002,0.014002,0.110504,0.469433,1.036903,0.002007
0.020000,0.113404,4.859007,0.016408,0.120306,0.490138,1.035233,0.002354
0.020000,0.116015,4.859014,0.019019,0.130521,0.510726,1.029419,0.002728
0.020000,0.118838,4.859022,0.021842,0.141154,0.531658,1.046596,0.003131
0.020000,0.121882,4.859033,0.024886,0.152192,0.551919,1.013059,0.003565
0.020000,0.125155,4.859045,0.028158,0.163646,0.572690,1.038541,0.004029
0.020000,0.128665,4.859060,0.031669,0.175513,0.593318,1.031393,0.004525
0.020000,0.132421,4.859078,0.035424,0.187788,0.613794,1.023806,0.005053
0.020000,0.136430,4.859099,0.039434,0.200473,0.634243,1.022415,0.005614
0.020000,0.140701,4.859125,0.043705,0.213567,0.654662,1.020963,0.006208
0.020000,0.145242,4.859154,0.048247,0.227068,0.675051,1.019447,0.006836
0.020000,0.150062,4.859189,0.053066,0.240976,0.695408,1.017863,0.007499
0.020000,0.155167,4.859229,0.058172,0.255290,0.715732,1.016208,0.008197
0.020000,0.160568,4.859275,0.063572,0.270011,0.736022,1.014478,0.008930
0.020000,0.166270,4.859328,0.069275,0.285130,0.755943,0.996054,0.009698
0.020000,0.172283,4.859389,0.075288,0.300654,0.776241,1.014922,0.010502
0.020000,0.178614,4.859458,0.081619,0.316582,0.796370,1.006451,0.011341
0.020000,0.185272,4.859536,0.088278,0.332904,0.816104,0.986695,0.012216
0.020000,0.192264,4.859625,0.095270,0.349628,0.836197,1.004636,0.013126
0.020000,0.199598,4.859725,0.102605,0.366750,0.856105,0.995397,0.014072
0.020000,0.207282,4.859837,0.110290,0.384262,0.875613,0.975400,0.015052
0.020000,0.215325,4.859962,0.118334,0.402170,0.895388,0.988768,0.016067
0.020000,0.223733,4.860101,0.126743,0.420471,0.915049,0.983044,0.017116
0.020000,0.232515,4.860257,0.135526,0.439162,0.934546,0.974849,0.018198
0.020000,0.241678,4.860428,0.144691,0.458242,0.953983,0.971861,0.019313
0.020000,0.251230,4.860618,0.154245,0.477702,0.973044,0.953020,0.020459
0.020000,0.261179,4.860828,0.164196,0.497553,0.992537,0.974653,0.021636
0.020000,0.271532,4.861058,0.174552,0.517788,1.011758,0.961086,0.022841
0.020000,0.282293,4.861311,0.185316,0.538188,1.019969,0.410515,0.024075
0.020000,0.293461,4.861587,0.196487,0.558561,1.018682,-0.064329,0.025333
0.020000,0.305035,4.861887,0.208065,0.578895,1.016677,-0.100236,0.026614
0.020000,0.317014,4.862214,0.220049,0.599188,1.014661,-0.100835,0.027915
0.020000,0.329398,4.862568,0.232438,0.619446,1.012913,-0.087394,0.029233
0.020000,0.342186,4.862950,0.245231,0.639664,1.010893,-0.101001,0.030566
0.020000,0.355376,4.863363,0.258428,0.659841,1.008850,-0.102138,0.031912
0.020000,0.368968,4.863806,0.272027,0.679976,1.006736,-0.105724,0.033266
0.020000,0.382962,4.864281,0.286029,0.700064,1.004389,-0.117310,0.034626
0.020000,0.397355,4.864790,0.300431,0.720113,1.002470,-0.095951,0.035990
0.020000,0.412147,4.865332,0.315233,0.740114,1.000040,-0.121499,0.037353
0.020000,0.427338,4.865910,0.330435,0.760070,0.997791,-0.112449,0.038714
0.020000,0.442925,4.866525,0.346034,0.779975,0.995270,-0.126076,0.040068
0.020000,0.458908,4.867176,0.362031,0.799836,0.993020,-0.112476,0.041413
0.020000,0.475287,4.867866,0.378424,0.819645,0.990476,-0.127206,0.042745
0.020000,0.492059,4.868595,0.395212,0.839403,0.987913,-0.128191,0.044061
0.020000,0.509224,4.869363,0.412394,0.859110,0.985325,-0.129368,0.045356
0.020000,0.526781,4.870171,0.429969,0.878764,0.982710,-0.130756,0.046628
