dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.240610,5.448988,0.000004,0.000400,0.020000,1.000000,6.282635
0.020000,1.240609,5.448988,0.000005,0.000038,-0.018087,-1.904339,6.282638
0.020000,1.240607,5.448988,0.000006,0.000086,0.002391,1.023913,6.282644
0.020000,1.240604,5.448988,0.000010,0.000153,0.003348,0.047823,6.282654
0.020000,1.240600,5.448988,0.000014,0.000239,0.004304,0.047813,6.282670
0.020000,1.240593,5.448988,0.000021,0.000344,0.005260,0.047796,6.282694
0.020000,1.240583,5.448988,0.000031,0.000469,0.006216,0.047770,6.282725
0.020000,1.240571,5.448988,0.000043,0.000612,0.007170,0.047735,6.282767
0.020000,1.240556,5.448988,0.000058,0.000775,0.008124,0.047688,6.282819
0.020000,1.240536,5.448988,0.000077,0.000956,0.009077,0.047628,6.282884
0.020000,1.240513,5.448988,0.000101,0.001157,0.010028,0.047553,6.282963
0.020000,1.240486,5.448988,0.000128,0.001376,0.010977,0.047461,6.283056
0.020000,1.240453,5.448988,0.000160,0.001615,0.011924,0.047352,6.283165
0.020000,1.241077,5.448988,0.000784,0.031170,1.477783,73.292976,0.000107
0.020000,1.241934,5.448988,0.001641,0.042852,0.584099,-44.684210,0.000253
0.020000,1.242909,5.448989,0.002616,0.048756,0.295204,-14.444742,0.000418
0.020000,1.244010,5.448989,0.003717,0.055043,0.314307,0.955146,0.000605
0.020000,1.245244,5.448990,0.004951,0.061712,0.333456,0.957425,0.000815
0.020000,1.246619,5.448991,0.006326,0.068759,0.352366,0.945509,0.001048
0.020000,1.248143,5.448993,0.007850,0.076192,0.371628,0.963081,0.001306
0.020000,1.249823,5.448996,0.009530,0.084002,0.390541,0.945673,0.001591
0.020000,1.251667,5.448999,0.011374,0.092198,0.409800,0.962971,0.001903
0.020000,1.253683,5.449003,0.013390,0.100773,0.428725,0.946229,0.002243
0.020000,1.255877,5.449008,0.015584,0.109733,0.447999,0.963694,0.002614
0.020000,1.258259,5.449015,0.017966,0.119073,0.467033,0.951721,0.003016
0.020000,1.260835,5.449023,0.020542,0.128796,0.486136,0.955158,0.003450
0.020000,1.263613,5.449034,0.023320,0.138902,0.505295,0.957914,0.003918
0.020000,1.266600,5.449046,0.026307,0.149391,0.524458,0.958184,0.004420
0.020000,1.269806,5.449061,0.029513,0.160264,0.543628,0.958467,0.004958
0.020000,1.273236,5.449079,0.032943,0.171520,0.562803,0.958763,0.005533
0.020000,1.276899,5.449101,0.036606,0.183160,0.581985,0.959076,0.006146
0.020000,1.280803,5.449126,0.040510,0.195183,0.601173,0.959409,0.006798
0.020000,1.284954,5.449156,0.044662,0.207590,0.620368,0.959765,0.007490
0.020000,1.289362,5.449190,0.049069,0.220383,0.639630,0.963086,0.008223
0.020000,1.294033,5.449230,0.053741,0.233562,0.658955,0.966241,0.008999
0.020000,1.298975,5.449277,0.058683,0.247124,0.678085,0.956530,0.009818
0.020000,1.304196,5.449330,0.063905,0.261075,0.697545,0.973008,0.010680
0.020000,1.309704,5.449392,0.069413,0.275410,0.716756,0.960543,0.011588
0.020000,1.315507,5.449462,0.075215,0.290132,0.736100,0.967171,0.012542
0.020000,1.321611,5.449541,0.081320,0.305242,0.755497,0.969895,0.013542
0.020000,1.328025,5.449632,0.087735,0.320740,0.774909,0.970561,0.014591
0.020000,1.334757,5.449733,0.094468,0.336627,0.794334,0.971285,0.015687
0.020000,1.341814,5.449848,0.101526,0.352902,0.813776,0.972073,0.016833
0.020000,1.349204,5.449977,0.108917,0.369567,0.833235,0.972933,0.018028
0.020000,1.356935,5.450121,0.116649,0.386621,0.852712,0.973871,0.019274
0.020000,1.365015,5.450282,0.124731,0.404070,0.872430,0.985896,0.020571
0.020000,1.373451,5.450462,0.133169,0.421906,0.891819,0.969480,0.021920
0.020000,1.382252,5.450661,0.141972,0.440138,0.911594,0.988732,0.023321
0.020000,1.391424,5.450881,0.151147,0.458762,0.931207,0.980634,0.024774
0.020000,1.400977,5.451125,0.160703,0.477780,0.950904,0.984848,0.026281
0.020000,1.410913,5.451394,0.170643,0.497002,0.961108,0.510191,0.027840
0.020000,1.421234,5.451690,0.180967,0.516238,0.961770,0.033129,0.029451
0.020000,1.431939,5.452014,0.191677,0.535488,0.962507,0.036852,0.031113
0.020000,1.443028,5.452369,0.202772,0.554753,0.963239,0.036611,0.032824
0.020000,1.454502,5.452756,0.214253,0.574031,0.963930,0.034535,0.034585
0.020000,1.466361,5.453177,0.226119,0.593327,0.964806,0.043794,0.036393
0.020000,1.478605,5.453634,0.238372,0.612639,0.965591,0.039262,0.038248
0.020000,1.491235,5.454129,0.251011,0.631968,0.966426,0.041753,0.040149
0.020000,1.504250,5.454665,0.264038,0.651314,0.967321,0.044737,0.042093
0.020000,1.517651,5.455243,0.277451,0.670679,0.968231,0.045515,0.044081
0.020000,1.531439,5.455865,0.291253,0.690062,0.969160,0.046409,0.046111
0.020000,1.545612,5.456533,0.305442,0.709466,0.970186,0.051341,0.048181
0.020000,1.560172,5.457251,0.320020,0.728889,0.971145,0.047932,0.050290
0.020000,1.575119,5.458019,0.334986,0.748333,0.972203,0.052905,0.052437
0.020000,1.590453,5.458841,0.350342,0.767797,0.973240,0.051840,0.054620
0.020000,1.606174,5.459718,0.366088,0.787285,0.974383,0.057170,0.056838
0.020000,1.622283,5.460653,0.382224,0.806795,0.975510,0.056315,0.059090
0.020000,1.638780,5.461648,0.398750,0.826328,0.976655,0.057295,0.061372
0.020000,1.655664,5.462705,0.415668,0.845886,0.977891,0.061785,0.063685
0.020000,1.672937,5.463827,0.432978,0.865468,0.979083,0.059586,0.066026
0.020000,1.690599,5.465016,0.450679,0.885074,0.980321,0.061915,0.068394
0.020000,1.708649,5.466274,0.468773,0.904708,0.981701,0.068976,0.070787
0.020000,1.727089,5.467604,0.487261,0.924367,0.982944,0.062187,0.073203
0.020000,1.745918,5.469008,0.506142,0.944054,0.984327,0.069142,0.075640
0.020000,1.765136,5.470488,0.525417,0.963768,0.985734,0.070310,0.078096
0.020000,1.784741,5.472046,0.545083,0.983318,0.977503,-0.411535,0.080569
0.020000,1.804724,5.473685,0.565134,1.002511,0.959650,-0.892655,0.083057
0.020000,1.825078,5.475405,0.585560,1.021347,0.941770,-0.894000,0.085555
0.020000,1.845796,5.477208,0.606357,1.039824,0.923881,-0.894449,0.088062
0.020000,1.866871,5.479096,0.627516,1.057945,0.906018,-0.893161,0.090574
0.020000,1.888294,5.481069,0.649030,1.075707,0.888088,-0.896487,0.093089
0.020000,1.910059,5.483128,0.670892,1.093111,0.870197,-0.894535,0.095603
