dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.240448,5.153988,0.000004,0.000400,0.020000,1.000000,6.282635
0.020000,1.240448,5.153988,0.000020,0.001200,0.040000,1.000000,6.282638
0.020000,1.240448,5.153988,0.000056,0.002400,0.060000,1.000000,6.282644
0.020000,1.240448,5.153988,0.000120,0.004000,0.080000,1.000000,6.282654
0.020000,1.240448,5.153988,0.000220,0.006000,0.100000,1.000000,6.282670
0.020000,1.240448,5.153988,0.000364,0.008400,0.120000,1.000000,6.282694
0.020000,1.240448,5.153988,0.000560,0.011200,0.140000,1.000000,6.282725
0.020000,1.240448,5.153988,0.000816,0.014400,0.160000,1.000000,6.282767
0.020000,1.240448,5.153988,0.001140,0.018000,0.180000,1.000000,6.282819
0.020000,1.240448,5.153988,0.001540,0.022000,0.200000,1.000000,6.282884
0.020000,1.240448,5.153988,0.002024,0.026400,0.220000,1.000000,6.282963
0.020000,1.240448,5.153988,0.002600,0.031200,0.240000,1.000000,6.283056
0.020000,1.240448,5.153988,0.003276,0.036400,0.260000,1.000000,6.283165
0.020000,1.241108,5.153988,0.004060,0.042000,0.280000,1.000000,0.000107
0.020000,1.242008,5.153988,0.004960,0.048000,0.300000,1.000000,0.000253
0.020000,1.243032,5.153989,0.005984,0.054400,0.320000,1.000000,0.000418
0.020000,1.244188,5.153989,0.007140,0.061200,0.340000,1.000000,0.000605
0.020000,1.245484,5.153990,0.008436,0.068400,0.360000,1.000000,0.000815
0.020000,1.246928,5.153992,0.009880,0.076000,0.380000,1.000000,0.001048
0.020000,1.248528,5.153994,0.011480,0.084000,0.400000,1.000000,0.001306
0.020000,1.250292,5.153996,0.013244,0.092400,0.420000,1.000000,0.001591
0.020000,1.252228,5.153999,0.015180,0.101200,0.440000,1.000000,0.001903
0.020000,1.254344,5.154004,0.017296,0.110400,0.460000,1.000000,0.002243
0.020000,1.256648,5.154009,0.019600,0.120000,0.480000,1.000000,0.002614
0.020000,1.259148,5.154016,0.022100,0.130000,0.500000,1.000000,0.003016
0.020000,1.261852,5.154025,0.024804,0.140400,0.520000,1.000000,0.003450
0.020000,1.264768,5.154036,0.027720,0.151200,0.540000,1.000000,0.003918
0.020000,1.267904,5.154049,0.030856,0.162400,0.560000,1.000000,0.004420
0.020000,1.271268,5.154065,0.034220,0.174000,0.580000,1.000000,0.004958
0.020000,1.274868,5.154084,0.037820,0.186000,0.600000,1.000000,0.005533
0.020000,1.278712,5.154106,0.041664,0.198400,0.620000,1.000000,0.006146
0.020000,1.282808,5.154133,0.045760,0.211200,0.640000,1.000000,0.006798
0.020000,1.287164,5.154164,0.050116,0.224400,0.660000,1.000000,0.007490
0.020000,1.291788,5.154200,0.054740,0.238000,0.680000,1.000000,0.008223
0.020000,1.296688,5.154242,0.059640,0.252000,0.700000,1.000000,0.008999
0.020000,1.301871,5.154291,0.064824,0.266400,0.720000,1.000000,0.009818
0.020000,1.307347,5.154347,0.070300,0.281200,0.740000,1.000000,0.010680
0.020000,1.313123,5.154412,0.076076,0.296400,0.760000,1.000000,0.011588
0.020000,1.319206,5.154485,0.082160,0.312000,0.780000,1.000000,0.012542
0.020000,1.325606,5.154568,0.088560,0.328000,0.800000,1.000000,0.013542
0.020000,1.332329,5.154663,0.095284,0.344400,0.820000,1.000000,0.014591
0.020000,1.339384,5.154770,0.102340,0.361200,0.840000,1.000000,0.015687
0.020000,1.346779,5.154890,0.109736,0.378400,0.860000,1.000000,0.016833
0.020000,1.354522,5.155025,0.117480,0.396000,0.880000,1.000000,0.018028
0.020000,1.362621,5.155176,0.125580,0.414000,0.900000,1.000000,0.019274
0.020000,1.371083,5.155345,0.134044,0.432400,0.920000,1.000000,0.020571
0.020000,1.379917,5.155532,0.142880,0.451200,0.940000,1.000000,0.021920
0.020000,1.389131,5.155741,0.152096,0.470400,0.960000,1.000000,0.023321
0.020000,1.398732,5.155972,0.161700,0.490000,0.980000,1.000000,0.024774
0.020000,1.408729,5.156227,0.171700,0.510000,1.000000,1.000000,0.026281
0.020000,1.419125,5.156508,0.182100,0.530000,1.000000,0.000000,0.027840
0.020000,1.429920,5.156818,0.192900,0.550000,1.000000,-0.000000,0.029451
0.020000,1.441115,5.157157,0.204100,0.570000,1.000000,0.000000,0.031113
0.020000,1.452709,5.157528,0.215700,0.590000,1.000000,-0.000000,0.032824
0.020000,1.464703,5.157932,0.227700,0.610000,1.000000,-0.000000,0.034585
0.020000,1.477095,5.158372,0.240100,0.630000,1.000000,0.000000,0.036393
0.020000,1.489886,5.158850,0.252900,0.650000,1.000000,-0.000000,0.038248
0.020000,1.503076,5.159367,0.266100,0.670000,1.000000,-0.000000,0.040149
0.020000,1.516664,5.159926,0.279700,0.690000,1.000000,0.000000,0.042093
0.020000,1.530651,5.160529,0.293700,0.710000,1.000000,-0.000000,0.044081
0.020000,1.545037,5.161178,0.308100,0.730000,1.000000,-0.000000,0.046111
0.020000,1.559820,5.161876,0.322900,0.750000,1.000000,0.000000,0.048181
0.020000,1.575002,5.162624,0.338100,0.770000,1.000000,0.000000,0.050290
0.020000,1.590581,5.163425,0.353700,0.790000,1.000000,-0.000000,0.052437
0.020000,1.606558,5.164281,0.369700,0.810000,1.000000,0.000000,0.054620
0.020000,1.622933,5.165194,0.386100,0.830000,1.000000,-0.000000,0.056838
0.020000,1.639704,5.166168,0.402900,0.850000,1.000000,-0.000000,0.059090
0.020000,1.656873,5.167203,0.420100,0.870000,1.000000,0.000000,0.061372
0.020000,1.674439,5.168303,0.437700,0.890000,1.000000,0.000000,0.063685
0.020000,1.692401,5.169470,0.455700,0.910000,1.000000,-0.000000,0.066026
0.020000,1.710759,5.170705,0.474100,0.930000,1.000000,0.000000,0.068394
0.020000,1.729514,5.172013,0.492900,0.950000,1.000000,0.000000,0.070787
0.020000,1.748664,5.173394,0.512100,0.970000,1.000000,0.000000,0.073203
0.020000,1.768210,5.174851,0.531700,0.990000,1.000000,-0.000000,0.075640
0.020000,1.788151,5.176387,0.551700,1.010000,1.000000,0.000000,0.078096
0.020000,1.808483,5.178003,0.572096,1.029600,0.980000,-1.000000,0.080569
0.020000,1.829197,5.179702,0.592880,1.048800,0.960000,-1.000000,0.083057
0.020000,1.850286,5.181484,0.614044,1.067600,0.940000,-1.000000,0.085555
0.020000,1.871741,5.183351,0.635580,1.086000,0.920000,-1.000000,0.088062
0.020000,1.893554,5.185305,0.657480,1.104000,0.900000,-1.000000,0.090574
0.020000,1.915716,5.187346,0.679736,1.121600,0.880000,-1.000000,0.093089
0.020000,1.938219,5.189475,0.702340,1.138800,0.860000,-1.000000,0.095603
0.020000,1.961056,5.191694,0.725284,1.155600,0.840000,-1.000000,0.098115
0.020000,1.984217,5.194004,0.748560,1.172000,0.820000,-1.000000,0.100621
0.020000,2.007695,5.196404,0.772160,1.188000,0.800000,-1.000000,0.103118
0.020000,2.031480,5.198895,0.796076,1.203600,0.780000,-1.000000,0.105604
0.020000,2.055566,5.201478,0.820300,1.218800,0.760000,-1.000000,0.108076
0.020000,2.079944,5.204154,0.844824,1.233600,0.740000,-1.000000,0.110531
0.020000,2.104605,5.206921,0.869640,1.248000,0.720000,-1.000000,0.112967
0.020000,2.129542,5.209781,0.894740,1.262000,0.700000,-1.000000,0.115382
0.020000,2.154745,5.212732,0.920116,1.275600,0.680000,-1.000000,0.117773
0.020000,2.180208,5.215776,0.945760,1.288800,0.660000,-1.000000,0.120136
0.020000,2.205922,5.218911,0.971664,1.301600,0.640000,-1.000000,0.122471
0.020000,2.231878,5.222136,0.997820,1.314000,0.620000,-1.000000,0.124775
0.020000,2.258069,5.225451,1.024220,1.326000,0.600000,-1.000000,0.127045
0.020000,2.284487,5.228856,1.050856,1.337600,0.580000,-1.000000,0.129279
