dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.240285,4.858988,0.000004,0.000400,0.020000,1.000000,6.282635
0.020000,1.240286,4.858988,0.000005,0.000038,-0.018087,-1.904339,6.282638
0.020000,1.240288,4.858988,0.000006,0.000086,0.002391,1.023913,6.282644
0.020000,1.240291,4.858988,0.000010,0.000153,0.003348,0.047823,6.282654
0.020000,1.240296,4.858988,0.000014,0.000239,0.004304,0.047813,6.282670
0.020000,1.240303,4.858988,0.000021,0.000344,0.005260,0.047796,6.282694
0.020000,1.240312,4.858988,0.000031,0.000469,0.006216,0.047770,6.282725
0.020000,1.240324,4.858988,0.000043,0.000612,0.007170,0.047735,6.282767
0.020000,1.240340,4.858988,0.000058,0.000775,0.008124,0.047688,6.282819
0.020000,1.240359,4.858988,0.000077,0.000956,0.009077,0.047628,6.282884
0.020000,1.240382,4.858988,0.000101,0.001157,0.010028,0.047553,6.282963
0.020000,1.240409,4.858988,0.000128,0.001376,0.010977,0.047461,6.283056
0.020000,1.240442,4.858988,0.000160,0.001615,0.011924,0.047352,6.283165
0.020000,1.241140,4.858988,0.000859,0.034914,1.664989,82.653241,0.000107
0.020000,1.242083,4.858988,0.001802,0.047149,0.611721,-52.663403,0.000253
0.020000,1.243156,4.858989,0.002875,0.053643,0.324701,-14.351000,0.000418
0.020000,1.244367,4.858989,0.004086,0.060556,0.345677,1.048828,0.000605
0.020000,1.245725,4.858990,0.005443,0.067890,0.366695,1.050881,0.000815
0.020000,1.247238,4.858992,0.006956,0.075639,0.387440,1.037261,0.001048
0.020000,1.248914,4.858994,0.008632,0.083810,0.408560,1.056019,0.001306
0.020000,1.250762,4.858996,0.010480,0.092396,0.429285,1.036233,0.001591
0.020000,1.252790,4.859000,0.012508,0.101404,0.450376,1.054555,0.001903
0.020000,1.255006,4.859005,0.014725,0.110825,0.471083,1.035365,0.002243
0.020000,1.257420,4.859010,0.017138,0.120668,0.492158,1.053721,0.002614
0.020000,1.260038,4.859018,0.019757,0.130927,0.512950,1.039621,0.003016
0.020000,1.262870,4.859027,0.022589,0.141603,0.533798,1.042386,0.003450
